global,year,neo13
global,2000,234557.1913716942
global,2001,228948.07565769553
global,2002,223272.39318983257
global,2003,216855.850423038
global,2004,209236.4486572519
global,2005,201363.7909881398
global,2006,194576.56818003207
global,2007,187406.26378833503
global,2008,181420.09350553155
global,2009,175138.41520617157
global,2010,168218.82261332124
global,2011,161669.88352833688
global,2012,155892.18264053017
global,2013,151115.8184799403
global,2014,147630.19113924354
global,2015,143747.6325069666
global,2016,140141.6304949522
global,2017,135753.2354672402
