global,year,fneo13
global,2000,0.05871091037988663
global,2001,0.05886166915297508
global,2002,0.05899004638195038
global,2003,0.05890625715255737
global,2004,0.058430563658475876
global,2005,0.057805635035037994
global,2006,0.057346489280462265
global,2007,0.05666273459792137
global,2008,0.056261107325553894
global,2009,0.055762991309165955
global,2010,0.054998718202114105
global,2011,0.054342661052942276
global,2012,0.05385737866163254
global,2013,0.05365729704499245
global,2014,0.05386443808674812
global,2015,0.05388019606471062
global,2016,0.05392429605126381
global,2017,0.0536242313683033
