global,year,ufive16
global,2000,341659.016398564
global,2001,334302.48304767907
global,2002,325356.49432367086
global,2003,317561.1891348958
global,2004,311144.02237041295
global,2005,303624.41315691173
global,2006,297906.5489462018
global,2007,292471.37084430456
global,2008,287420.5808417052
global,2009,284988.20595805347
global,2010,280180.47753305733
global,2011,276560.5392137617
global,2012,272257.1985386163
global,2013,267502.69917206466
global,2014,263155.4996302277
global,2015,258590.4074597354
global,2016,253371.6587221059
global,2017,246282.8041655412
