global,year,post3
global,2000,1158689.2183625603
global,2001,1087210.4204203298
global,2002,1021396.8058452711
global,2003,956078.8140694428
global,2004,896160.7414299184
global,2005,840590.638266629
global,2006,794602.6584579671
global,2007,748470.4595651351
global,2008,704347.6301117408
global,2009,668065.7619364441
global,2010,632121.7149036976
global,2011,597896.6933112623
global,2012,561607.0965291548
global,2013,534895.7591527884
global,2014,506228.59573468874
global,2015,479736.8617617119
global,2016,454238.83710259927
global,2017,424477.74467593327
