country,year,post5
afg,2000,19.600687407979528
afg,2001,18.03313411377689
afg,2002,16.61862384384332
afg,2003,15.461975808327477
afg,2004,14.31198759414794
afg,2005,13.093082874613572
afg,2006,12.14853108029311
afg,2007,11.26454495330791
afg,2008,10.333370700677953
afg,2009,9.598525316510026
afg,2010,8.978715171505122
afg,2011,8.293437661152367
afg,2012,7.842825122937996
afg,2013,7.3993359045455716
afg,2014,7.020313006812867
afg,2015,6.678531704931691
afg,2016,6.359668779134493
afg,2017,6.071402207591152
ago,2000,11.440057617921866
ago,2001,11.073351084833575
ago,2002,10.741636975635743
ago,2003,10.395034514291638
ago,2004,9.955736708428049
ago,2005,9.31018861468715
ago,2006,8.53304680454221
ago,2007,7.652198139689972
ago,2008,6.729726204095414
ago,2009,6.000000175729383
ago,2010,5.410995885493946
ago,2011,4.9396765210960325
ago,2012,4.664827226559282
ago,2013,4.415480258358002
ago,2014,4.2097175689195865
ago,2015,4.043236847464868
ago,2016,3.8850489859178197
ago,2017,3.768013662258454
alb,2000,0.0
alb,2001,0.0
alb,2002,0.0
alb,2003,0.0
alb,2004,0.0
alb,2005,0.0
alb,2006,0.0
alb,2007,0.0
alb,2008,0.0
alb,2009,0.0
alb,2010,0.0
alb,2011,0.0
alb,2012,0.0
alb,2013,0.0
alb,2014,0.0
alb,2015,0.0
alb,2016,0.0
alb,2017,0.0
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.0
are,2001,0.0
are,2002,0.0
are,2003,0.0
are,2004,0.0
are,2005,0.0
are,2006,0.0
are,2007,0.0
are,2008,0.0
are,2009,0.0
are,2010,0.0
are,2011,0.0
are,2012,0.0
are,2013,0.0
are,2014,0.0
are,2015,0.0
are,2016,0.0
are,2017,0.0
arg,2000,0.0
arg,2001,0.0
arg,2002,0.0
arg,2003,0.0
arg,2004,0.0
arg,2005,0.0
arg,2006,0.0
arg,2007,0.0
arg,2008,0.0
arg,2009,0.0
arg,2010,0.0
arg,2011,0.0
arg,2012,0.0
arg,2013,0.0
arg,2014,0.0
arg,2015,0.0
arg,2016,0.0
arg,2017,0.0
arm,2000,0.0
arm,2001,0.0
arm,2002,0.0
arm,2003,0.0
arm,2004,0.0
arm,2005,0.0
arm,2006,0.0
arm,2007,0.0
arm,2008,0.0
arm,2009,0.0
arm,2010,0.0
arm,2011,0.0
arm,2012,0.0
arm,2013,0.0
arm,2014,0.0
arm,2015,0.0
arm,2016,0.0
arm,2017,0.0
atg,2000,0.0
atg,2001,0.0
atg,2002,0.0
atg,2003,0.0
atg,2004,0.0
atg,2005,0.0
atg,2006,0.0
atg,2007,0.0
atg,2008,0.0
atg,2009,0.0
atg,2010,0.0
atg,2011,0.0
atg,2012,0.0
atg,2013,0.0
atg,2014,0.0
atg,2015,0.0
atg,2016,0.0
atg,2017,0.0
aus,2000,0.0
aus,2001,0.0
aus,2002,0.0
aus,2003,0.0
aus,2004,0.0
aus,2005,0.0
aus,2006,0.0
aus,2007,0.0
aus,2008,0.0
aus,2009,0.0
aus,2010,0.0
aus,2011,0.0
aus,2012,0.0
aus,2013,0.0
aus,2014,0.0
aus,2015,0.0
aus,2016,0.0
aus,2017,0.0
aut,2000,0.0
aut,2001,0.0
aut,2002,0.0
aut,2003,0.0
aut,2004,0.0
aut,2005,0.0
aut,2006,0.0
aut,2007,0.0
aut,2008,0.0
aut,2009,0.0
aut,2010,0.0
aut,2011,0.0
aut,2012,0.0
aut,2013,0.0
aut,2014,0.0
aut,2015,0.0
aut,2016,0.0
aut,2017,0.0
aze,2000,0.0
aze,2001,0.0
aze,2002,0.0
aze,2003,0.0
aze,2004,0.0
aze,2005,0.0
aze,2006,0.0
aze,2007,0.0
aze,2008,0.0
aze,2009,0.0
aze,2010,0.0
aze,2011,0.0
aze,2012,0.0
aze,2013,0.0
aze,2014,0.0
aze,2015,0.0
aze,2016,0.0
aze,2017,0.0
bdi,2000,1.3131101874237139
bdi,2001,1.2172052906556985
bdi,2002,1.1421605454731854
bdi,2003,1.1021460622442625
bdi,2004,1.0706032458216086
bdi,2005,1.0467576923365662
bdi,2006,1.0257571652817532
bdi,2007,1.0121951878726065
bdi,2008,1.0102426137991394
bdi,2009,0.9999999785591918
bdi,2010,0.9856195219880348
bdi,2011,0.9722141227818604
bdi,2012,0.9320097582531162
bdi,2013,0.8937242593601695
bdi,2014,0.8557585677372117
bdi,2015,0.8223158646469528
bdi,2016,0.7943555718993593
bdi,2017,0.7717863159887202
bel,2000,0.0
bel,2001,0.0
bel,2002,0.0
bel,2003,0.0
bel,2004,0.0
bel,2005,0.0
bel,2006,0.0
bel,2007,0.0
bel,2008,0.0
bel,2009,0.0
bel,2010,0.0
bel,2011,0.0
bel,2012,0.0
bel,2013,0.0
bel,2014,0.0
bel,2015,0.0
bel,2016,0.0
bel,2017,0.0
ben,2000,3.7462213414169696
ben,2001,3.612453751639947
ben,2002,3.4940392429681424
ben,2003,3.3784098685895856
ben,2004,3.28168537768218
ben,2005,3.1857195603941477
ben,2006,3.174890673659462
ben,2007,3.145636970375051
ben,2008,3.090271117476334
ben,2009,3.0000001490055865
ben,2010,2.8739464072299654
ben,2011,2.707345064734227
ben,2012,2.710051232992555
ben,2013,2.700429393487866
ben,2014,2.682187989426893
ben,2015,2.6486117786553223
ben,2016,2.6158373878424754
ben,2017,2.5712361526384484
bfa,2000,5.926013462633094
bfa,2001,5.821931925742803
bfa,2002,5.731389512589416
bfa,2003,5.627642524654306
bfa,2004,5.549550902091724
bfa,2005,5.4467362261822245
bfa,2006,5.44560135372879
bfa,2007,5.369473155878083
bfa,2008,5.3240885574234795
bfa,2009,5.252506334371958
bfa,2010,5.139804535207219
bfa,2011,5.015964582800336
bfa,2012,4.759994681575336
bfa,2013,4.526462855174032
bfa,2014,4.324324476991023
bfa,2015,4.158992210512224
bfa,2016,4.006158276082715
bfa,2017,3.8846193778081215
bgd,2000,23.254106366168383
bgd,2001,20.409348621177216
bgd,2002,17.865704113169407
bgd,2003,15.666556617498648
bgd,2004,13.51723501655081
bgd,2005,11.599501769818373
bgd,2006,9.795790665284875
bgd,2007,8.006332025875736
bgd,2008,6.583624251655432
bgd,2009,5.430426914865418
bgd,2010,4.561046858530185
bgd,2011,3.9385691235851428
bgd,2012,3.65127263258202
bgd,2013,3.3834066458253327
bgd,2014,3.127734872007036
bgd,2015,2.916655133822929
bgd,2016,2.7592721651358048
bgd,2017,2.5957994557578568
bgr,2000,0.0
bgr,2001,0.0
bgr,2002,0.0
bgr,2003,0.0
bgr,2004,0.0
bgr,2005,0.0
bgr,2006,0.0
bgr,2007,0.0
bgr,2008,0.0
bgr,2009,0.0
bgr,2010,0.0
bgr,2011,0.0
bgr,2012,0.0
bgr,2013,0.0
bgr,2014,0.0
bgr,2015,0.0
bgr,2016,0.0
bgr,2017,0.0
bhr,2000,0.0
bhr,2001,0.0
bhr,2002,0.0
bhr,2003,0.0
bhr,2004,0.0
bhr,2005,0.0
bhr,2006,0.0
bhr,2007,0.0
bhr,2008,0.0
bhr,2009,0.0
bhr,2010,0.0
bhr,2011,0.0
bhr,2012,0.0
bhr,2013,0.0
bhr,2014,0.0
bhr,2015,0.0
bhr,2016,0.0
bhr,2017,0.0
bhs,2000,0.0
bhs,2001,0.0
bhs,2002,0.0
bhs,2003,0.0
bhs,2004,0.0
bhs,2005,0.0
bhs,2006,0.0
bhs,2007,0.0
bhs,2008,0.0
bhs,2009,0.0
bhs,2010,0.0
bhs,2011,0.0
bhs,2012,0.0
bhs,2013,0.0
bhs,2014,0.0
bhs,2015,0.0
bhs,2016,0.0
bhs,2017,0.0
bih,2000,0.0
bih,2001,0.0
bih,2002,0.0
bih,2003,0.0
bih,2004,0.0
bih,2005,0.0
bih,2006,0.0
bih,2007,0.0
bih,2008,0.0
bih,2009,0.0
bih,2010,0.0
bih,2011,0.0
bih,2012,0.0
bih,2013,0.0
bih,2014,0.0
bih,2015,0.0
bih,2016,0.0
bih,2017,0.0
blr,2000,0.0
blr,2001,0.0
blr,2002,0.0
blr,2003,0.0
blr,2004,0.0
blr,2005,0.0
blr,2006,0.0
blr,2007,0.0
blr,2008,0.0
blr,2009,0.0
blr,2010,0.0
blr,2011,0.0
blr,2012,0.0
blr,2013,0.0
blr,2014,0.0
blr,2015,0.0
blr,2016,0.0
blr,2017,0.0
blz,2000,0.0
blz,2001,0.0
blz,2002,0.0
blz,2003,0.0
blz,2004,0.0
blz,2005,0.0
blz,2006,0.0
blz,2007,0.0
blz,2008,0.0
blz,2009,0.0
blz,2010,0.0
blz,2011,0.0
blz,2012,0.0
blz,2013,0.0
blz,2014,0.0
blz,2015,0.0
blz,2016,0.0
blz,2017,0.0
bol,2000,2.2685612135650017
bol,2001,2.0167829669116757
bol,2002,1.848858976425861
bol,2003,1.7035940762899031
bol,2004,1.572462316063129
bol,2005,1.4461976487106838
bol,2006,1.3353318270725913
bol,2007,1.22648310104225
bol,2008,1.1320075850665536
bol,2009,1.0614045891384682
bol,2010,1.009842575610902
bol,2011,0.9858302887527758
bol,2012,0.930670819558249
bol,2013,0.8813707849376963
bol,2014,0.8425539918322386
bol,2015,0.7981008400793757
bol,2016,0.7670452692336702
bol,2017,0.7435249495355788
bra,2000,0.0
bra,2001,5.064484064066332
bra,2002,7.18510960198996
bra,2003,2.183435011293854
bra,2004,2.0887761509635814
bra,2005,1.9115193893525322
bra,2006,0.0
bra,2007,0.0
bra,2008,1.6630414371577458
bra,2009,0.0
bra,2010,0.0
bra,2011,1.6003827058331719
bra,2012,1.5716563116594844
bra,2013,0.0
bra,2014,2.9113605814899377
bra,2015,0.0
bra,2016,1.5618547748495863
bra,2017,1.4186909414972895
brb,2000,0.0
brb,2001,0.0
brb,2002,0.0
brb,2003,0.0
brb,2004,0.0
brb,2005,0.0
brb,2006,0.0
brb,2007,0.0
brb,2008,0.0
brb,2009,0.0
brb,2010,0.0
brb,2011,0.0
brb,2012,0.0
brb,2013,0.0
brb,2014,0.0
brb,2015,0.0
brb,2016,0.0
brb,2017,0.0
brn,2000,0.0
brn,2001,0.0
brn,2002,0.5263826723330125
brn,2003,0.5227272510528564
brn,2004,0.5187969746897775
brn,2005,0.0
brn,2006,0.0
brn,2007,0.0
brn,2008,0.0
brn,2009,0.0
brn,2010,0.0
brn,2011,0.0
brn,2012,0.0
brn,2013,0.0
brn,2014,0.0
brn,2015,0.0
brn,2016,0.0
brn,2017,0.0
btn,2000,0.12064570692271159
btn,2001,0.10975676280893266
btn,2002,0.0
btn,2003,0.0
btn,2004,0.0
btn,2005,0.0
btn,2006,0.0
btn,2007,0.0
btn,2008,0.0
btn,2009,0.0
btn,2010,0.0
btn,2011,0.0
btn,2012,0.0
btn,2013,0.0
btn,2014,0.0
btn,2015,0.0
btn,2016,0.0
btn,2017,0.0
bwa,2000,0.0
bwa,2001,0.0
bwa,2002,0.0
bwa,2003,0.0
bwa,2004,0.0
bwa,2005,0.0
bwa,2006,0.0
bwa,2007,0.0
bwa,2008,0.0
bwa,2009,0.0
bwa,2010,0.0
bwa,2011,0.0
bwa,2012,0.0
bwa,2013,0.0
bwa,2014,0.0
bwa,2015,0.0
bwa,2016,0.0
bwa,2017,0.0
caf,2000,4.9875019879690115
caf,2001,4.82792599704004
caf,2002,4.626990118817673
caf,2003,4.386571046711708
caf,2004,4.146319532236788
caf,2005,3.9237455875475717
caf,2006,3.665357577557856
caf,2007,3.4229601747952216
caf,2008,3.20414956491085
caf,2009,2.9999998881771575
caf,2010,2.8331814044219072
caf,2011,2.6833123698453534
caf,2012,2.6081999405432725
caf,2013,2.5249230376648484
caf,2014,2.428093227063073
caf,2015,2.3248951827117708
caf,2016,2.200632980573573
caf,2017,2.129276104969904
can,2000,0.0
can,2001,0.0
can,2002,0.0
can,2003,0.0
can,2004,0.0
can,2005,0.0
can,2006,0.0
can,2007,0.0
can,2008,0.0
can,2009,0.0
can,2010,0.0
can,2011,0.0
can,2012,0.0
can,2013,0.0
can,2014,0.0
can,2015,0.0
can,2016,0.0
can,2017,0.0
che,2000,0.0
che,2001,0.0
che,2002,0.0
che,2003,0.0
che,2004,0.0
che,2005,0.0
che,2006,0.0
che,2007,0.0
che,2008,0.0
che,2009,0.0
che,2010,0.0
che,2011,0.0
che,2012,0.0
che,2013,0.0
che,2014,0.0
che,2015,0.0
che,2016,0.0
che,2017,0.0
chl,2000,0.0
chl,2001,0.0
chl,2002,0.0
chl,2003,0.0
chl,2004,0.0
chl,2005,0.0
chl,2006,0.0
chl,2007,0.0
chl,2008,0.0
chl,2009,0.0
chl,2010,0.0
chl,2011,0.0
chl,2012,0.0
chl,2013,0.0
chl,2014,0.0
chl,2015,0.0
chl,2016,0.0
chl,2017,0.0
chn,2000,365.3498229980469
chn,2001,349.4796447753906
chn,2002,305.06036376953125
chn,2003,276.0181579589844
chn,2004,233.76304626464844
chn,2005,134.46864318847656
chn,2006,65.67912292480469
chn,2007,27.298992156982422
chn,2008,10.57146167755127
chn,2009,18.199020385742188
chn,2010,32.153831481933594
chn,2011,44.912322998046875
chn,2012,38.294227600097656
chn,2013,34.41104507446289
chn,2014,22.530153274536133
chn,2015,10.836817741394043
chn,2016,10.065528869628906
chn,2017,9.351130485534668
civ,2000,9.07772035972613
civ,2001,8.930584485026998
civ,2002,8.837324360744958
civ,2003,8.72017736258286
civ,2004,8.571371866835875
