global,year,fufive9
global,2000,0.17583152651786804
global,2001,0.17374752461910248
global,2002,0.17212915420532227
global,2003,0.16930213570594788
global,2004,0.1703021079301834
global,2005,0.1685713678598404
global,2006,0.17087505757808685
global,2007,0.17118988931179047
global,2008,0.16835278272628784
global,2009,0.16745559871196747
global,2010,0.16591396927833557
global,2011,0.1637200117111206
global,2012,0.16240844130516052
global,2013,0.15833477675914764
global,2014,0.15563058853149414
global,2015,0.14975449442863464
global,2016,0.14900454878807068
global,2017,0.14939826726913452
