region,year,rpost9
5_emr,2000,12.398670196533203
6_wpr,2000,4.561849594116211
1_afr,2000,21.089365005493164
2_amr,2000,2.9901020526885986
3_sear,2000,13.150651931762695
4_eur,2000,2.5169222354888916
5_emr,2001,12.061115264892578
2_amr,2001,2.739527940750122
3_sear,2001,12.527652740478516
6_wpr,2001,4.0387444496154785
1_afr,2001,20.274337768554688
4_eur,2001,2.28664493560791
5_emr,2002,11.67957592010498
3_sear,2002,11.878581047058105
4_eur,2002,2.0743744373321533
1_afr,2002,19.424697875976562
6_wpr,2002,3.5955097675323486
2_amr,2002,2.534450054168701
6_wpr,2003,3.2053935527801514
4_eur,2003,1.903306007385254
3_sear,2003,11.295783042907715
1_afr,2003,18.42738151550293
5_emr,2003,11.369852066040039
2_amr,2003,2.3929741382598877
4_eur,2004,1.7383359670639038
5_emr,2004,11.03933334350586
6_wpr,2004,2.8922502994537354
1_afr,2004,17.600299835205078
3_sear,2004,10.73780632019043
2_amr,2004,2.265449047088623
4_eur,2005,1.6085790395736694
2_amr,2005,2.0609278678894043
6_wpr,2005,2.6436960697174072
5_emr,2005,10.640338897705078
3_sear,2005,10.21187973022461
1_afr,2005,16.817214965820312
1_afr,2006,16.324617385864258
2_amr,2006,1.9666591882705688
5_emr,2006,10.265853881835938
4_eur,2006,1.4738820791244507
3_sear,2006,9.67678451538086
6_wpr,2006,2.488001585006714
5_emr,2007,9.772204399108887
1_afr,2007,15.631722450256348
6_wpr,2007,2.371230125427246
2_amr,2007,1.825425386428833
3_sear,2007,9.122057914733887
4_eur,2007,1.34849214553833
5_emr,2008,9.24808120727539
6_wpr,2008,2.2652697563171387
3_sear,2008,8.559908866882324
2_amr,2008,1.702674388885498
4_eur,2008,1.2261195182800293
1_afr,2008,14.862615585327148
5_emr,2009,8.648212432861328
1_afr,2009,14.308174133300781
6_wpr,2009,2.14056658744812
4_eur,2009,1.1676877737045288
2_amr,2009,1.668078064918518
3_sear,2009,7.998978137969971
6_wpr,2010,1.9958796501159668
4_eur,2010,1.0458508729934692
1_afr,2010,13.826189994812012
3_sear,2010,7.454329490661621
2_amr,2010,1.5667144060134888
5_emr,2010,8.1454439163208
1_afr,2011,13.176596641540527
4_eur,2011,0.9747790694236755
5_emr,2011,7.731341361999512
3_sear,2011,6.948730945587158
2_amr,2011,1.5189851522445679
6_wpr,2011,1.8608427047729492
2_amr,2012,1.4138529300689697
6_wpr,2012,1.7406156063079834
5_emr,2012,7.388175964355469
3_sear,2012,6.453481197357178
1_afr,2012,12.386392593383789
4_eur,2012,0.9064719080924988
1_afr,2013,11.738927841186523
5_emr,2013,6.650807857513428
2_amr,2013,1.3667662143707275
4_eur,2013,0.8886703848838806
3_sear,2013,5.906026363372803
6_wpr,2013,1.659680724143982
2_amr,2014,1.2762497663497925
5_emr,2014,6.186558723449707
3_sear,2014,5.433869361877441
4_eur,2014,0.8192206025123596
1_afr,2014,11.157954216003418
6_wpr,2014,1.570224404335022
2_amr,2015,1.1806325912475586
4_eur,2015,0.7775334119796753
6_wpr,2015,1.4905635118484497
1_afr,2015,10.30760669708252
5_emr,2015,5.883127689361572
3_sear,2015,4.769473552703857
2_amr,2016,1.1692992448806763
1_afr,2016,9.990854263305664
3_sear,2016,4.382168769836426
5_emr,2016,5.72426700592041
6_wpr,2016,1.4064756631851196
4_eur,2016,0.7079681754112244
1_afr,2017,9.5737886428833
2_amr,2017,1.1279942989349365
4_eur,2017,0.6686201691627502
3_sear,2017,4.062999725341797
5_emr,2017,5.572607517242432
6_wpr,2017,1.3289501667022705
