country,year,rneo13
afg,2000,2.883631467819214
afg,2001,2.9162709712982178
afg,2002,3.0096054077148438
afg,2003,3.190154790878296
afg,2004,3.431154489517212
afg,2005,3.5157828330993652
afg,2006,3.4600350856781006
afg,2007,3.3103270530700684
afg,2008,3.180400848388672
afg,2009,3.0388236045837402
afg,2010,2.8585269451141357
afg,2011,2.6878998279571533
afg,2012,2.5765058994293213
afg,2013,2.5072684288024902
afg,2014,2.4593701362609863
afg,2015,2.4018964767456055
afg,2016,2.3279049396514893
afg,2017,2.2644224166870117
ago,2000,2.177459716796875
ago,2001,2.160227060317993
ago,2002,2.1474766731262207
ago,2003,2.1721553802490234
ago,2004,2.196537971496582
ago,2005,2.182976007461548
ago,2006,2.0994584560394287
ago,2007,2.008283853530884
ago,2008,1.9195414781570435
ago,2009,1.8362597227096558
ago,2010,1.7282214164733887
ago,2011,1.6314704418182373
ago,2012,1.57036554813385
ago,2013,1.5523254871368408
ago,2014,1.5614904165267944
ago,2015,1.5693715810775757
ago,2016,1.5983552932739258
ago,2017,1.5585787296295166
alb,2000,0.3992285430431366
alb,2001,0.4021073579788208
alb,2002,0.42054277658462524
alb,2003,0.4358363449573517
alb,2004,0.4466896653175354
alb,2005,0.4452812671661377
alb,2006,0.43101540207862854
alb,2007,0.40618252754211426
alb,2008,0.3795240521430969
alb,2009,0.35156139731407166
alb,2010,0.3365119695663452
alb,2011,0.3239833116531372
alb,2012,0.31578487157821655
alb,2013,0.31399253010749817
alb,2014,0.32043692469596863
alb,2015,0.33278000354766846
alb,2016,0.3455353379249573
alb,2017,0.3472914695739746
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.8165031671524048
are,2001,0.7545618414878845
are,2002,0.6968164443969727
are,2003,0.642749547958374
are,2004,0.5951517820358276
are,2005,0.548504114151001
are,2006,0.5079026818275452
are,2007,0.4746924936771393
are,2008,0.4466904103755951
are,2009,0.4249823987483978
are,2010,0.4089343547821045
are,2011,0.398548424243927
are,2012,0.3961668014526367
are,2013,0.39839398860931396
are,2014,0.406629353761673
are,2015,0.41946274042129517
are,2016,0.43086352944374084
are,2017,0.43983373045921326
arg,2000,0.7128368616104126
arg,2001,0.6583680510520935
arg,2002,0.5147644281387329
arg,2003,0.5369904041290283
arg,2004,0.5310227870941162
arg,2005,0.5203249454498291
arg,2006,0.49958011507987976
arg,2007,0.4944583475589752
arg,2008,0.4991341531276703
arg,2009,0.4898879826068878
arg,2010,0.45649319887161255
arg,2011,0.5064648985862732
arg,2012,0.5696528553962708
arg,2013,0.5778014659881592
arg,2014,0.5775027871131897
arg,2015,0.5284243226051331
arg,2016,0.49439987540245056
arg,2017,0.46673333644866943
arm,2000,0.5476688146591187
arm,2001,0.5650595426559448
arm,2002,0.5817482471466064
arm,2003,0.5924787521362305
arm,2004,0.5987160801887512
arm,2005,0.606564462184906
arm,2006,0.6081425547599792
arm,2007,0.6047124862670898
arm,2008,0.5957861542701721
arm,2009,0.5888909101486206
arm,2010,0.5787166953086853
arm,2011,0.5688881874084473
arm,2012,0.5539912581443787
arm,2013,0.540764570236206
arm,2014,0.5249007344245911
arm,2015,0.5113457441329956
arm,2016,0.49489691853523254
arm,2017,0.4722590446472168
atg,2000,0.47135189175605774
atg,2001,0.4336793124675751
atg,2002,0.4537796676158905
atg,2003,0.21821369230747223
atg,2004,0.38331663608551025
atg,2005,0.3761228322982788
atg,2006,1.0328288078308105
atg,2007,1.2558035850524902
atg,2008,1.6796491146087646
atg,2009,1.263119101524353
atg,2010,1.1322569847106934
atg,2011,0.6089025139808655
atg,2012,0.23666469752788544
atg,2013,0.3409786522388458
atg,2014,0.35699713230133057
atg,2015,0.5018261671066284
atg,2016,0.282749205827713
atg,2017,0.37217479944229126
aus,2000,0.8086087703704834
aus,2001,0.9038830399513245
aus,2002,0.8891966938972473
aus,2003,0.9819775223731995
aus,2004,0.5339733362197876
aus,2005,0.5310345888137817
aus,2006,0.525154709815979
aus,2007,0.49317502975463867
aus,2008,0.5728676319122314
aus,2009,0.6512977480888367
aus,2010,0.5306344032287598
aus,2011,0.47171199321746826
aus,2012,0.4696635901927948
aus,2013,0.45270752906799316
aus,2014,0.4146650731563568
aus,2015,0.4230406582355499
aus,2016,0.40291884541511536
aus,2017,0.3893719017505646
aut,2000,0.2717638909816742
aut,2001,0.4446794390678406
aut,2002,0.042456094175577164
aut,2003,0.11853930354118347
aut,2004,0.09889581799507141
aut,2005,0.012606148608028889
aut,2006,0.14532890915870667
aut,2007,0.285024493932724
aut,2008,0.340239554643631
aut,2009,0.485136479139328
aut,2010,0.41135168075561523
aut,2011,0.27585577964782715
aut,2012,0.35535433888435364
aut,2013,0.4112406075000763
aut,2014,0.35859742760658264
aut,2015,0.32147541642189026
aut,2016,0.36365261673927307
aut,2017,0.35468363761901855
aze,2000,1.7074536085128784
aze,2001,1.6322880983352661
aze,2002,1.5597641468048096
aze,2003,1.4890815019607544
aze,2004,1.4207909107208252
aze,2005,1.3530220985412598
aze,2006,1.2887850999832153
aze,2007,1.2267563343048096
aze,2008,1.1607725620269775
aze,2009,1.09818696975708
aze,2010,1.0395686626434326
aze,2011,0.9689627289772034
aze,2012,0.903211772441864
aze,2013,0.8423473834991455
aze,2014,0.7845773100852966
aze,2015,0.7299243807792664
aze,2016,0.6799222230911255
aze,2017,0.6330727338790894
bdi,2000,1.5728201866149902
bdi,2001,1.582188367843628
bdi,2002,1.5958012342453003
bdi,2003,1.589771032333374
bdi,2004,1.5588980913162231
bdi,2005,1.5125352144241333
bdi,2006,1.4679460525512695
bdi,2007,1.4573876857757568
bdi,2008,1.4786041975021362
bdi,2009,1.518072247505188
bdi,2010,1.4960134029388428
bdi,2011,1.4169806241989136
bdi,2012,1.3368295431137085
bdi,2013,1.2805089950561523
bdi,2014,1.2457703351974487
bdi,2015,1.2116785049438477
bdi,2016,1.1750361919403076
bdi,2017,1.1418027877807617
bel,2000,0.39412325620651245
bel,2001,0.3935011029243469
bel,2002,0.4867805242538452
bel,2003,0.43031203746795654
bel,2004,0.3894505798816681
bel,2005,0.3921143412590027
bel,2006,0.5269151926040649
bel,2007,0.4745456874370575
bel,2008,0.48118162155151367
bel,2009,0.3842907249927521
bel,2010,0.40828853845596313
bel,2011,0.40439409017562866
bel,2012,0.3885789215564728
bel,2013,0.38390016555786133
bel,2014,0.4232838451862335
bel,2015,0.38948750495910645
bel,2016,0.3808400630950928
bel,2017,0.3711965084075928
ben,2000,1.6048110723495483
ben,2001,1.5713999271392822
ben,2002,1.5535945892333984
ben,2003,1.5575487613677979
ben,2004,1.585288643836975
ben,2005,1.594323992729187
ben,2006,1.574240803718567
ben,2007,1.5418840646743774
ben,2008,1.527414083480835
ben,2009,1.5348045825958252
ben,2010,1.5504703521728516
ben,2011,1.5591598749160767
ben,2012,1.5557973384857178
ben,2013,1.5309988260269165
ben,2014,1.4865926504135132
ben,2015,1.441292405128479
ben,2016,1.3980650901794434
ben,2017,1.3791813850402832
bfa,2000,1.4433002471923828
bfa,2001,1.4309566020965576
bfa,2002,1.4085876941680908
bfa,2003,1.3849365711212158
bfa,2004,1.3465816974639893
bfa,2005,1.3111404180526733
bfa,2006,1.2727460861206055
bfa,2007,1.2426109313964844
bfa,2008,1.2164665460586548
bfa,2009,1.1968050003051758
bfa,2010,1.176782488822937
bfa,2011,1.1565353870391846
bfa,2012,1.131296992301941
bfa,2013,1.110655426979065
bfa,2014,1.090423822402954
bfa,2015,1.072225570678711
bfa,2016,1.0539159774780273
bfa,2017,1.0304514169692993
bgd,2000,2.764986753463745
bgd,2001,2.6395580768585205
bgd,2002,2.5148940086364746
bgd,2003,2.398510217666626
bgd,2004,2.292750835418701
bgd,2005,2.1944804191589355
bgd,2006,2.1121959686279297
bgd,2007,2.019585371017456
bgd,2008,1.920023798942566
bgd,2009,1.815150260925293
bgd,2010,1.7096341848373413
bgd,2011,1.6081297397613525
bgd,2012,1.5113790035247803
bgd,2013,1.4261763095855713
bgd,2014,1.3545604944229126
bgd,2015,1.282340168952942
bgd,2016,1.2053382396697998
bgd,2017,1.1374315023422241
bgr,2000,1.0684006214141846
bgr,2001,0.7283605337142944
bgr,2002,0.8053801655769348
bgr,2003,0.5867059230804443
bgr,2004,0.501319408416748
bgr,2005,0.2801406681537628
bgr,2006,0.24658139050006866
bgr,2007,0.31296491622924805
bgr,2008,0.08243095129728317
bgr,2009,0.19561029970645905
bgr,2010,0.2264886498451233
bgr,2011,0.2825813591480255
bgr,2012,0.07946416735649109
bgr,2013,0.12977702915668488
bgr,2014,0.20335285365581512
bgr,2015,0.12736542522907257
bgr,2016,0.12158659100532532
bgr,2017,0.116121307015419
bhr,2000,0.3494766652584076
bhr,2001,0.21004658937454224
bhr,2002,0.0
bhr,2003,0.1535194367170334
bhr,2004,0.1673469990491867
bhr,2005,0.12734225392341614
bhr,2006,0.09097552299499512
bhr,2007,0.17987948656082153
bhr,2008,0.2510875165462494
bhr,2009,0.18257059156894684
bhr,2010,0.15292462706565857
bhr,2011,0.08897236734628677
bhr,2012,0.42962712049484253
bhr,2013,0.14197473227977753
bhr,2014,0.08098216354846954
bhr,2015,0.2087945193052292
bhr,2016,0.207012340426445
bhr,2017,0.20257282257080078
bhs,2000,0.3240998685359955
bhs,2001,0.5019518733024597
bhs,2002,0.7966853976249695
bhs,2003,0.7949658632278442
bhs,2004,0.5833995938301086
bhs,2005,0.4825522303581238
bhs,2006,0.5990201830863953
bhs,2007,0.8288989663124084
bhs,2008,0.8095923066139221
bhs,2009,0.6451290249824524
bhs,2010,0.5299187898635864
bhs,2011,0.3179093301296234
bhs,2012,0.41704773902893066
bhs,2013,0.3219238519668579
bhs,2014,0.36090561747550964
bhs,2015,0.31155338883399963
bhs,2016,0.2862693965435028
bhs,2017,0.2736266255378723
bih,2000,0.4459174871444702
bih,2001,0.4178072214126587
bih,2002,0.3978865444660187
bih,2003,0.3790520429611206
bih,2004,0.36613142490386963
bih,2005,0.3572991192340851
bih,2006,0.3526402711868286
bih,2007,0.3492027819156647
bih,2008,0.34585845470428467
bih,2009,0.3405286371707916
bih,2010,0.3284139633178711
bih,2011,0.31587764620780945
bih,2012,0.30214551091194153
bih,2013,0.28673088550567627
bih,2014,0.27327364683151245
bih,2015,0.26048752665519714
bih,2016,0.24978896975517273
bih,2017,0.24225294589996338
blr,2000,0.4034827649593353
blr,2001,0.3746057152748108
blr,2002,0.3450263440608978
blr,2003,0.3131430745124817
blr,2004,0.2827233672142029
blr,2005,0.2548927068710327
blr,2006,0.22704994678497314
blr,2007,0.20331023633480072
blr,2008,0.18320332467556
blr,2009,0.16791169345378876
blr,2010,0.16292613744735718
blr,2011,0.15960419178009033
blr,2012,0.1614302098751068
blr,2013,0.162147656083107
blr,2014,0.15932129323482513
blr,2015,0.1540469378232956
blr,2016,0.14847885072231293
blr,2017,0.1434888392686844
blz,2000,0.06882759183645248
blz,2001,0.17253302037715912
blz,2002,0.22234874963760376
blz,2003,0.41929516196250916
blz,2004,0.41123732924461365
blz,2005,0.6791853308677673
blz,2006,0.8440913558006287
blz,2007,0.9718331098556519
blz,2008,0.7735347151756287
blz,2009,0.8058188557624817
blz,2010,0.8656681180000305
blz,2011,0.9071073532104492
blz,2012,1.0070492029190063
blz,2013,1.1325262784957886
blz,2014,1.424031138420105
blz,2015,1.3789644241333008
blz,2016,1.3595925569534302
blz,2017,1.28758704662323
bol,2000,1.6664375066757202
bol,2001,1.6170510053634644
bol,2002,1.5731343030929565
bol,2003,1.5335233211517334
bol,2004,1.496258020401001
bol,2005,1.4530854225158691
bol,2006,1.4068917036056519
bol,2007,1.3489261865615845
bol,2008,1.2848604917526245
bol,2009,1.2172287702560425
bol,2010,1.1623139381408691
bol,2011,1.1156691312789917
