global,year,post10
global,2000,120408.29158062753
global,2001,117944.97899028356
global,2002,115227.74261174013
global,2003,111970.90872671841
global,2004,109835.40186504147
global,2005,107437.94192024737
global,2006,106319.4567057849
global,2007,104927.38241755022
global,2008,103262.45192692602
global,2009,101614.8185208894
global,2010,100242.52396805356
global,2011,98465.16132209713
global,2012,96157.62189494856
global,2013,94488.28253520015
global,2014,93678.83733862148
global,2015,92133.73456013405
global,2016,89706.16997539366
global,2017,86337.78314566135
