global,year,fufive2
global,2000,0.023315468803048134
global,2001,0.02445700392127037
global,2002,0.02543213590979576
global,2003,0.025931142270565033
global,2004,0.026600642129778862
global,2005,0.02648737095296383
global,2006,0.026468221098184586
global,2007,0.025594428181648254
global,2008,0.023823244497179985
global,2009,0.022006340324878693
global,2010,0.02080640010535717
global,2011,0.018792271614074707
global,2012,0.017166968435049057
global,2013,0.015588047914206982
global,2014,0.014864672906696796
global,2015,0.014166498556733131
global,2016,0.0135410251095891
global,2017,0.013922067359089851
