global,year,fpost6
global,2000,0.08065088093280792
global,2001,0.08126894384622574
global,2002,0.07806997001171112
global,2003,0.08752992749214172
global,2004,0.06061214953660965
global,2005,0.07080169767141342
global,2006,0.04747544974088669
global,2007,0.03186136856675148
global,2008,0.03736737370491028
global,2009,0.040135886520147324
global,2010,0.03435085341334343
global,2011,0.05066294968128204
global,2012,0.03686348348855972
global,2013,0.04312341660261154
global,2014,0.04165763407945633
global,2015,0.04447184130549431
global,2016,0.04750930145382881
global,2017,0.03180688992142677
