global,year,neo10
global,2000,1247414.177165091
global,2001,1221799.3790843785
global,2002,1195769.9915550053
global,2003,1172050.0571972132
global,2004,1148302.694661796
global,2005,1128038.520008862
global,2006,1106858.4435229003
global,2007,1088070.1098781824
global,2008,1067616.7345401645
global,2009,1048060.2012141347
global,2010,1032773.8852412403
global,2011,1016387.4770421982
global,2012,1000268.8913683295
global,2013,981094.0379840732
global,2014,956125.6346943378
global,2015,930701.7737404704
global,2016,902784.1125511527
global,2017,878028.4671346843
