global,year,rpost16
global,2000,2.5784289836883545
global,2001,2.514235019683838
global,2002,2.432976484298706
global,2003,2.3588480949401855
global,2004,2.294428825378418
global,2005,2.223695993423462
global,2006,2.1672050952911377
global,2007,2.1125364303588867
global,2008,2.0614960193634033
global,2009,2.030244827270508
global,2010,1.9852100610733032
global,2011,1.9509131908416748
global,2012,1.9140915870666504
global,2013,1.8768696784973145
global,2014,1.8442091941833496
global,2015,1.811389446258545
global,2016,1.7745734453201294
global,2017,1.7254149913787842
