global,year,rufive15
global,2000,4.3823561668396
global,2001,4.315608024597168
global,2002,4.236557960510254
global,2003,4.135775089263916
global,2004,4.071486949920654
global,2005,3.995554208755493
global,2006,3.949117660522461
global,2007,3.8876564502716064
global,2008,3.8210434913635254
global,2009,3.7593774795532227
global,2010,3.735567808151245
global,2011,3.6932830810546875
global,2012,3.6393721103668213
global,2013,3.6029417514801025
global,2014,3.5791847705841064
global,2015,3.556468963623047
global,2016,3.4896910190582275
global,2017,3.3781392574310303
