global,year,fufive3
global,2000,0.12019914388656616
global,2001,0.1162412092089653
global,2002,0.11296852678060532
global,2003,0.10863357782363892
global,2004,0.10668985545635223
global,2005,0.10329687595367432
global,2006,0.10241742432117462
global,2007,0.10079919546842575
global,2008,0.09763423353433609
global,2009,0.09606742113828659
global,2010,0.09400153905153275
global,2011,0.09186936169862747
global,2012,0.09029097855091095
global,2013,0.08882740139961243
global,2014,0.08710786700248718
global,2015,0.08531933277845383
global,2016,0.08341430872678757
global,2017,0.08138201385736465
