global,year,fneo5
global,2000,0.04275941848754883
global,2001,0.03905061259865761
global,2002,0.035437025129795074
global,2003,0.031924281269311905
global,2004,0.028526438400149345
global,2005,0.02580118738114834
global,2006,0.02358315698802471
global,2007,0.021685559302568436
global,2008,0.019909070804715157
global,2009,0.018411152064800262
global,2010,0.017363833263516426
global,2011,0.01666264422237873
global,2012,0.015904918313026428
global,2013,0.014911564067006111
global,2014,0.01377100683748722
global,2015,0.0126951327547431
global,2016,0.012074084021151066
global,2017,0.012185241095721722
