global,year,ufive2
global,2000,232761.26668849587
global,2001,237002.05150395632
global,2002,238355.29323667288
global,2003,236716.90247309208
global,2004,231862.80099734664
global,2005,223748.4886842668
global,2006,213114.26339066774
global,2007,197210.70982422307
global,2008,178306.42990755662
global,2009,158690.23436219245
global,2010,145054.9731656611
global,2011,126781.65054506063
global,2012,110717.94804871082
global,2013,97294.40749818087
global,2014,89504.44083628058
global,2015,82502.02195447683
global,2016,76407.52678653598
global,2017,75360.21395120025
