region,year,ufive11
5_emr,2000,148456.83507156372
6_wpr,2000,121906.35707925633
1_afr,2000,373106.4513720274
2_amr,2000,35968.54392290115
3_sear,2000,432843.177942276
4_eur,2000,19454.432357296348
5_emr,2001,145317.17047214508
2_amr,2001,34056.77069628239
3_sear,2001,415710.0960197449
6_wpr,2001,114271.19888578728
1_afr,2001,374290.1364495754
4_eur,2001,18427.97951349616
5_emr,2002,142608.6379365921
3_sear,2002,397814.8183631897
4_eur,2002,17596.486641258
1_afr,2002,374600.1665594578
6_wpr,2002,105173.54563481733
2_amr,2002,32667.849745869637
6_wpr,2003,95988.3865236137
4_eur,2003,16737.58777908981
3_sear,2003,379826.1159543991
1_afr,2003,373389.35647571087
5_emr,2003,140345.0118303299
2_amr,2003,30442.37447845936
4_eur,2004,15997.186434820294
5_emr,2004,138156.20615410805
6_wpr,2004,86133.11643315852
1_afr,2004,371454.9798710346
3_sear,2004,362208.5559682846
2_amr,2004,29445.262744545937
4_eur,2005,15511.231601163745
2_amr,2005,27734.75481057167
6_wpr,2005,77959.00213540532
5_emr,2005,135782.62991809845
3_sear,2005,344542.70522117615
1_afr,2005,368776.63952994347
1_afr,2006,366594.24484848976
2_amr,2006,26966.304773136973
5_emr,2006,133721.8015127182
4_eur,2006,15121.121208846569
3_sear,2006,326684.5318336487
6_wpr,2006,72922.95444692299
5_emr,2007,132295.83326387405
1_afr,2007,363443.52942585945
6_wpr,2007,68147.42247571424
2_amr,2007,25916.404218673706
3_sear,2007,308532.4100780487
4_eur,2007,14733.751396983862
5_emr,2008,131333.33367443085
6_wpr,2008,63660.65748651512
3_sear,2008,289907.2588272095
2_amr,2008,24912.8167116642
4_eur,2008,14350.259506180882
1_afr,2008,360297.84679174423
5_emr,2009,130397.92421627045
1_afr,2009,357334.938229084
6_wpr,2009,59742.939345445484
4_eur,2009,14196.343842580914
2_amr,2009,23729.751421689987
3_sear,2009,270523.38978385925
6_wpr,2010,55895.585280932486
4_eur,2010,13424.542605027556
1_afr,2010,353780.6637477875
3_sear,2010,251453.16364574432
2_amr,2010,23005.378679037094
5_emr,2010,128782.59920978546
1_afr,2011,350299.2139515877
4_eur,2011,12793.911975443363
5_emr,2011,126866.33048295975
3_sear,2011,233200.89492225647
2_amr,2011,21963.755614995956
6_wpr,2011,52314.120765749365
2_amr,2012,21021.102482557297
6_wpr,2012,49473.50739283487
5_emr,2012,124684.4070072174
3_sear,2012,216360.75230836868
1_afr,2012,346239.12842929363
4_eur,2012,12063.539939671755
1_afr,2013,342781.64357328415
5_emr,2013,123183.95608997345
2_amr,2013,20521.539481520653
4_eur,2013,11482.203076407313
3_sear,2013,201050.31505060196
6_wpr,2013,47179.40818767436
2_amr,2014,20278.45169365406
5_emr,2014,121454.95947790146
3_sear,2014,187134.62453126907
4_eur,2014,10859.137437999249
1_afr,2014,339857.5326176882
6_wpr,2014,45391.55619030446
2_amr,2015,19980.45680999756
4_eur,2015,10330.470619753003
6_wpr,2015,43519.677301459014
1_afr,2015,336758.81225550175
5_emr,2015,119209.52107524872
3_sear,2015,174828.44479703903
2_amr,2016,19831.982072532177
1_afr,2016,333593.03870356083
3_sear,2016,166764.36637163162
5_emr,2016,116560.05524873734
6_wpr,2016,40883.8593045827
4_eur,2016,9828.929864317179
1_afr,2017,330687.51717865467
2_amr,2017,19133.81019103527
4_eur,2017,9274.01544227451
3_sear,2017,159724.5085477829
5_emr,2017,114136.8572177887
6_wpr,2017,38548.5578638725
