global,year,rufive7
global,2000,2.6102192401885986
global,2001,2.527830123901367
global,2002,2.4403467178344727
global,2003,2.411500930786133
global,2004,2.248136520385742
global,2005,2.1823418140411377
global,2006,1.9128905534744263
global,2007,1.8207993507385254
global,2008,1.8369899988174438
global,2009,1.6354011297225952
global,2010,1.4552793502807617
global,2011,1.3554894924163818
global,2012,1.3640871047973633
global,2013,1.2237037420272827
global,2014,1.0548701286315918
global,2015,1.0155410766601562
global,2016,0.9045866131782532
global,2017,0.9244750738143921
