global,year,fufive12
global,2000,0.0482763797044754
global,2001,0.04942280799150467
global,2002,0.05083560571074486
global,2003,0.05181364715099335
global,2004,0.05388844758272171
global,2005,0.055022645741701126
global,2006,0.056823838502168655
global,2007,0.05867411941289902
global,2008,0.059644635766744614
global,2009,0.06080884858965874
global,2010,0.06112145259976387
global,2011,0.060915347188711166
global,2012,0.06136369705200195
global,2013,0.06129079312086105
global,2014,0.06195380538702011
global,2015,0.0625351145863533
global,2016,0.06340521574020386
global,2017,0.06465001404285431
