global,year,rufive13
global,2000,6.13806676864624
global,2001,5.932243347167969
global,2002,5.71660041809082
global,2003,5.490258693695068
global,2004,5.259946823120117
global,2005,5.040491580963135
global,2006,4.868305206298828
global,2007,4.702945232391357
global,2008,4.557638645172119
global,2009,4.443817138671875
global,2010,4.335965633392334
global,2011,4.222618103027344
global,2012,4.099236011505127
global,2013,4.050581455230713
global,2014,4.014153480529785
global,2015,3.9544734954833984
global,2016,3.888359546661377
global,2017,3.775106906890869
