global,year,rpost11
global,2000,0.5439141392707825
global,2001,0.5347393155097961
global,2002,0.5243638753890991
global,2003,0.5122827887535095
global,2004,0.5023189783096313
global,2005,0.49226200580596924
global,2006,0.4862240254878998
global,2007,0.47693386673927307
global,2008,0.46783682703971863
global,2009,0.4621818959712982
global,2010,0.4571589231491089
global,2011,0.4525376260280609
global,2012,0.44572946429252625
global,2013,0.4475158452987671
global,2014,0.453260213136673
global,2015,0.45208296179771423
global,2016,0.4476785659790039
global,2017,0.4362233281135559
