global,year,rufive6
global,2000,3.704314708709717
global,2001,3.6022841930389404
global,2002,3.31571364402771
global,2003,3.602132797241211
global,2004,2.335827350616455
global,2005,2.6189687252044678
global,2006,1.6366592645645142
global,2007,1.0298117399215698
global,2008,1.162361741065979
global,2009,1.1859147548675537
global,2010,0.9707956314086914
global,2011,1.3741918802261353
global,2012,0.9393000602722168
global,2013,1.055944561958313
global,2014,0.9750804305076599
global,2015,1.000200867652893
global,2016,1.0300636291503906
global,2017,0.652859628200531
