global,year,rneo13
global,2000,1.7991416454315186
global,2001,1.7494040727615356
global,2002,1.6971750259399414
global,2003,1.6382982730865479
global,2004,1.570131778717041
global,2005,1.5005306005477905
global,2006,1.4398411512374878
global,2007,1.3773359060287476
global,2008,1.324737548828125
global,2009,1.2713651657104492
global,2010,1.2149230241775513
global,2011,1.1627205610275269
global,2012,1.1173782348632812
global,2013,1.0802909135818481
global,2014,1.05336594581604
global,2015,1.0244466066360474
global,2016,0.9982398748397827
global,2017,0.9670285582542419
