global,year,neo15
global,2000,328982.30197635293
global,2001,325290.8812315464
global,2002,321314.8108781576
global,2003,317061.1020515263
global,2004,314920.8639689982
global,2005,312444.0525135398
global,2006,311212.8737846613
global,2007,308438.6334256232
global,2008,306016.5161822736
global,2009,302746.66210725904
global,2010,302061.36601138115
global,2011,301098.56780183315
global,2012,299934.75100567937
global,2013,298821.4129450917
global,2014,298441.4906568527
global,2015,297731.11168438196
global,2016,292876.1901206672
global,2017,283582.36553165317
