global,year,ufive7
global,2000,340298.7605840964
global,2001,330822.2844877001
global,2002,321040.57664874475
global,2003,319202.0046242024
global,2004,299587.6564597124
global,2005,292859.4745241301
global,2006,258503.31047753105
global,2007,247745.81009031413
global,2008,251572.01145975292
global,2009,225286.61987110868
global,2010,201498.6858170767
global,2011,188473.33729306574
global,2012,190312.03819801845
global,2013,171177.04368540458
global,2014,147841.00202417374
global,2015,142498.02282038704
global,2016,126993.76478089392
global,2017,129779.49785463884
