global,year,post12
global,2000,152.8744659423828
global,2001,139.34274291992188
global,2002,152.68394470214844
global,2003,179.16261291503906
global,2004,219.18679809570312
global,2005,273.6825256347656
global,2006,319.30950927734375
global,2007,344.73345947265625
global,2008,406.66162109375
global,2009,438.2688903808594
global,2010,473.94415283203125
global,2011,493.9114074707031
global,2012,439.7700500488281
global,2013,426.8824768066406
global,2014,415.0571594238281
global,2015,385.9677429199219
global,2016,358.4972839355469
global,2017,333.05303955078125
