global,year,neo2
global,2000,2041.7071695625782
global,2001,2048.813152104616
global,2002,2036.3025837093592
global,2003,1985.650357156992
global,2004,1931.6093066185713
global,2005,1846.0704068690538
global,2006,1766.0378587469459
global,2007,1661.8567407503724
global,2008,1516.7096842601895
global,2009,1398.3188516572118
global,2010,1290.285522185266
global,2011,1248.7654540091753
global,2012,1158.005085080862
global,2013,1002.3321193754673
global,2014,872.0014744773507
global,2015,787.4368190914392
global,2016,762.5185978785157
global,2017,755.3140485137701
