country,year,fneo15
afg,2000,0.048071593046188354
afg,2001,0.04971262812614441
afg,2002,0.05184450000524521
afg,2003,0.05461401119828224
afg,2004,0.05746511369943619
afg,2005,0.059128884226083755
afg,2006,0.06020497530698776
afg,2007,0.061356622725725174
afg,2008,0.06277218461036682
afg,2009,0.06454532593488693
afg,2010,0.06608164310455322
afg,2011,0.067733995616436
afg,2012,0.06980454176664352
afg,2013,0.07266497611999512
afg,2014,0.07564371824264526
afg,2015,0.07845842838287354
afg,2016,0.08109962940216064
afg,2017,0.08109962940216064
ago,2000,0.06826602667570114
ago,2001,0.06475919485092163
ago,2002,0.061561573296785355
ago,2003,0.059169020503759384
ago,2004,0.0573667474091053
ago,2005,0.055957574397325516
ago,2006,0.054899975657463074
ago,2007,0.05451466888189316
ago,2008,0.05498885363340378
ago,2009,0.056508760899305344
ago,2010,0.05877474695444107
ago,2011,0.06185200810432434
ago,2012,0.0655214935541153
ago,2013,0.06979159265756607
ago,2014,0.07431642711162567
ago,2015,0.07864020764827728
ago,2016,0.08300136774778366
ago,2017,0.08300136774778366
alb,2000,0.19282539188861847
alb,2001,0.19915927946567535
alb,2002,0.20652200281620026
alb,2003,0.2123616486787796
alb,2004,0.21827106177806854
alb,2005,0.22334150969982147
alb,2006,0.2287926822900772
alb,2007,0.23346303403377533
alb,2008,0.23793458938598633
alb,2009,0.2416737675666809
alb,2010,0.24576739966869354
alb,2011,0.24960152804851532
alb,2012,0.25326624512672424
alb,2013,0.2565794587135315
alb,2014,0.2595519721508026
alb,2015,0.2621223032474518
alb,2016,0.26503151655197144
alb,2017,0.26503151655197144
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.2741328775882721
are,2001,0.27733877301216125
are,2002,0.2804812490940094
are,2003,0.28361985087394714
are,2004,0.28659161925315857
are,2005,0.2896527349948883
are,2006,0.29209622740745544
are,2007,0.29444175958633423
are,2008,0.29616740345954895
are,2009,0.29782530665397644
are,2010,0.2986188232898712
are,2011,0.29975199699401855
are,2012,0.30024492740631104
are,2013,0.30101174116134644
are,2014,0.3016617000102997
are,2015,0.3021402955055237
are,2016,0.30268463492393494
are,2017,0.3026846647262573
arg,2000,0.2267363965511322
arg,2001,0.23649322986602783
arg,2002,0.2317250519990921
arg,2003,0.23400339484214783
arg,2004,0.24743309617042542
arg,2005,0.24775226414203644
arg,2006,0.2703370153903961
arg,2007,0.25518089532852173
arg,2008,0.26235872507095337
arg,2009,0.2774021029472351
arg,2010,0.27664074301719666
arg,2011,0.27837687730789185
arg,2012,0.2871512174606323
arg,2013,0.26784372329711914
arg,2014,0.2890377640724182
arg,2015,0.281453937292099
arg,2016,0.2814539670944214
arg,2017,0.281453937292099
arm,2000,0.17007599771022797
arm,2001,0.17739559710025787
arm,2002,0.18449126183986664
arm,2003,0.19133715331554413
arm,2004,0.19868409633636475
arm,2005,0.20634491741657257
arm,2006,0.21386055648326874
arm,2007,0.2212127149105072
arm,2008,0.2277938425540924
arm,2009,0.23384124040603638
arm,2010,0.23889543116092682
arm,2011,0.244243785738945
arm,2012,0.24883528053760529
arm,2013,0.253608375787735
arm,2014,0.2574518024921417
arm,2015,0.2612558603286743
arm,2016,0.26434126496315
arm,2017,0.26434126496315
atg,2000,0.20142310857772827
atg,2001,0.15297935903072357
atg,2002,0.3729853332042694
atg,2003,0.3853565752506256
atg,2004,0.5046689510345459
atg,2005,0.17159497737884521
atg,2006,0.20847751200199127
atg,2007,0.15032680332660675
atg,2008,0.1603485643863678
atg,2009,0.0972222238779068
atg,2010,0.06196581572294235
atg,2011,0.14444445073604584
atg,2012,0.23671497404575348
atg,2013,0.35606059432029724
