global,year,neo7
global,2000,53599.67714062333
global,2001,53457.97429172695
global,2002,52959.47222507
global,2003,52669.28128255904
global,2004,52162.494663611054
global,2005,51122.58393765986
global,2006,51134.91233584285
global,2007,50631.1204136312
global,2008,49754.244073688984
global,2009,48653.53874976188
global,2010,46851.83170276135
global,2011,44438.33232577145
global,2012,42244.21909124404
global,2013,40500.08670592308
global,2014,39046.61416517943
global,2015,37435.3599993363
global,2016,36301.122106503695
global,2017,35256.52643047273
