global,year,fpost7
global,2000,0.047878898680210114
global,2001,0.04781348258256912
global,2002,0.047980502247810364
global,2003,0.04892932251095772
global,2004,0.048179421573877335
global,2005,0.048698969185352325
global,2006,0.044512029737234116
global,2007,0.044820982962846756
global,2008,0.047375649213790894
global,2009,0.043395061045885086
global,2010,0.03952072933316231
global,2011,0.038190681487321854
global,2012,0.041651297360658646
global,2013,0.038150642067193985
global,2014,0.03316383808851242
global,2015,0.03329161927103996
global,2016,0.029795756563544273
global,2017,0.032804083079099655
