global,year,post2
global,2000,230719.55813066603
global,2001,234953.23860062045
global,2002,236318.99138814228
global,2003,234731.25178318084
global,2004,229931.18805843568
global,2005,221902.41709161203
global,2006,211348.22736104784
global,2007,195548.8517854478
global,2008,176789.71866795415
global,2009,157291.91658230926
global,2010,143764.68738037045
global,2011,125532.884393431
global,2012,109559.94330358667
global,2013,96292.07625333351
global,2014,88632.43877778531
global,2015,81714.58474858322
global,2016,75645.00821791968
global,2017,74604.90125779535
