region,year,rufive7
5_emr,2000,3.0712573528289795
6_wpr,2000,0.6613471508026123
1_afr,2000,5.73640775680542
2_amr,2000,0.5638801455497742
3_sear,2000,2.81689715385437
4_eur,2000,0.5293110013008118
5_emr,2001,2.977945566177368
2_amr,2001,0.498752236366272
3_sear,2001,2.619936227798462
6_wpr,2001,0.5847600698471069
1_afr,2001,5.719110488891602
4_eur,2001,0.475918173789978
5_emr,2002,2.9294440746307373
3_sear,2002,2.6068918704986572
4_eur,2002,0.43129950761795044
1_afr,2002,5.383846759796143
6_wpr,2002,0.5232763886451721
2_amr,2002,0.4408182203769684
6_wpr,2003,0.4752792418003082
4_eur,2003,0.3940300941467285
3_sear,2003,2.479562997817993
1_afr,2003,5.528763771057129
5_emr,2003,2.748812675476074
2_amr,2003,0.4069119095802307
4_eur,2004,0.3531513214111328
5_emr,2004,2.690855026245117
6_wpr,2004,0.4181101620197296
1_afr,2004,5.001485347747803
3_sear,2004,2.3547956943511963
2_amr,2004,0.3869650959968567
4_eur,2005,0.32618215680122375
2_amr,2005,0.36219701170921326
6_wpr,2005,0.4231441915035248
5_emr,2005,2.722987174987793
3_sear,2005,2.135758876800537
1_afr,2005,4.951537132263184
1_afr,2006,3.9595372676849365
2_amr,2006,0.3472801446914673
5_emr,2006,2.6327595710754395
4_eur,2006,0.3002544939517975
3_sear,2006,2.034902572631836
6_wpr,2006,0.35854780673980713
5_emr,2007,2.5026838779449463
1_afr,2007,3.761185646057129
6_wpr,2007,0.3480335474014282
2_amr,2007,0.31244349479675293
3_sear,2007,1.9239170551300049
4_eur,2007,0.2777548134326935
5_emr,2008,2.2622268199920654
6_wpr,2008,0.3429582417011261
3_sear,2008,1.8086470365524292
2_amr,2008,0.2979911267757416
4_eur,2008,0.24472782015800476
1_afr,2008,4.077830791473389
5_emr,2009,2.1119384765625
1_afr,2009,3.4381659030914307
6_wpr,2009,0.32927703857421875
4_eur,2009,0.2230250984430313
2_amr,2009,0.2807886600494385
3_sear,2009,1.6827504634857178
6_wpr,2010,0.31688961386680603
4_eur,2010,0.20079267024993896
1_afr,2010,2.87386417388916
3_sear,2010,1.5658050775527954
2_amr,2010,0.28189048171043396
5_emr,2010,1.9781267642974854
1_afr,2011,2.66794490814209
4_eur,2011,0.18171340227127075
5_emr,2011,1.8415712118148804
3_sear,2011,1.4583783149719238
2_amr,2011,0.24036218225955963
6_wpr,2011,0.2933671772480011
2_amr,2012,0.21883021295070648
6_wpr,2012,0.2626101076602936
5_emr,2012,1.7935304641723633
3_sear,2012,1.3485203981399536
1_afr,2012,2.8585236072540283
4_eur,2012,0.16370636224746704
1_afr,2013,2.5545594692230225
5_emr,2013,1.5474205017089844
2_amr,2013,0.20455653965473175
4_eur,2013,0.15438929200172424
3_sear,2013,1.217372179031372
6_wpr,2013,0.23661038279533386
2_amr,2014,0.1876341998577118
5_emr,2014,1.4438650608062744
3_sear,2014,1.1105560064315796
4_eur,2014,0.14062219858169556
1_afr,2014,2.0488433837890625
6_wpr,2014,0.2162906527519226
2_amr,2015,0.17830337584018707
4_eur,2015,0.13687871396541595
6_wpr,2015,0.19651161134243011
1_afr,2015,2.124101400375366
5_emr,2015,1.371651530265808
3_sear,2015,0.9163333773612976
2_amr,2016,0.17391416430473328
1_afr,2016,1.790755271911621
3_sear,2016,0.8358765840530396
5_emr,2016,1.328971266746521
6_wpr,2016,0.18292631208896637
4_eur,2016,0.12027416378259659
1_afr,2017,1.9351401329040527
2_amr,2017,0.1702861785888672
4_eur,2017,0.11368449777364731
3_sear,2017,0.7772230505943298
5_emr,2017,1.2876249551773071
6_wpr,2017,0.16916213929653168
