global,year,rufive3
global,2000,9.204168319702148
global,2001,8.60720443725586
global,2002,8.048056602478027
global,2003,7.491927146911621
global,2004,6.978480815887451
global,2005,6.502373218536377
global,2006,6.102189064025879
global,2007,5.708183765411377
global,2008,5.33596134185791
global,2009,5.028835296630859
global,2010,4.733090400695801
global,2011,4.4575276374816895
global,2012,4.173924922943115
global,2013,3.963454484939575
global,2014,3.7424042224884033
global,2015,3.541099786758423
global,2016,3.3526864051818848
global,2017,3.13802170753479
