global,year,ufive12
global,2000,481949.1758816056
global,2001,478934.66773510724
global,2002,476441.9405197315
global,2003,472989.8241728619
global,2004,469715.2305458747
global,2005,464796.364063967
global,2006,457528.68943982944
global,2007,452097.033548899
global,2008,446413.6511345133
global,2009,438499.54952213913
global,2010,426117.499604892
global,2011,410964.08581287786
global,2012,395763.69885844365
global,2013,382552.79757602885
global,2014,373041.55414235964
global,2015,364188.31063599885
global,2016,357774.65857972205
global,2017,349950.8272669129
