global,year,fneo16
global,2000,0.0013778844149783254
global,2001,0.0013521790970116854
global,2002,0.0013964634854346514
global,2003,0.0014474621275439858
global,2004,0.0015044762985780835
global,2005,0.0014971926575526595
global,2006,0.0014841777738183737
global,2007,0.0015209983102977276
global,2008,0.0015824934234842658
global,2009,0.001690488657914102
global,2010,0.0017352185677736998
global,2011,0.0017804399831220508
global,2012,0.0018001903081312776
global,2013,0.001760438783094287
global,2014,0.001710437354631722
global,2015,0.0016571199521422386
global,2016,0.0016320801805704832
global,2017,0.0016060814959928393
