global,year,fpost12
global,2000,2.5530116545269266e-05
global,2001,2.4020617274800315e-05
global,2002,2.732699977059383e-05
global,2003,3.289016603957862e-05
global,2004,4.2680756450863555e-05
global,2005,5.513455835171044e-05
global,2006,6.85404083924368e-05
global,2007,7.838731835363433e-05
global,2008,9.546164801577106e-05
global,2009,0.00010767352068796754
global,2010,0.00012111865362385288
global,2011,0.0001309599174419418
global,2012,0.00012370677723083645
global,2013,0.00012462672020774335
global,2014,0.00012652204895857722
global,2015,0.0001223031140398234
global,2016,0.0001177790982183069
global,2017,0.00011558565165614709
