region,year,post12
5_emr,2000,0.0
6_wpr,2000,152.8744659423828
1_afr,2000,0.0
2_amr,2000,0.0
3_sear,2000,0.0
4_eur,2000,0.0
5_emr,2001,0.0
2_amr,2001,0.0
3_sear,2001,0.0
6_wpr,2001,139.34274291992188
1_afr,2001,0.0
4_eur,2001,0.0
5_emr,2002,0.0
3_sear,2002,0.0
4_eur,2002,0.0
1_afr,2002,0.0
6_wpr,2002,152.68394470214844
2_amr,2002,0.0
6_wpr,2003,179.16261291503906
4_eur,2003,0.0
3_sear,2003,0.0
1_afr,2003,0.0
5_emr,2003,0.0
2_amr,2003,0.0
4_eur,2004,0.0
5_emr,2004,0.0
6_wpr,2004,219.18679809570312
1_afr,2004,0.0
3_sear,2004,0.0
2_amr,2004,0.0
4_eur,2005,0.0
2_amr,2005,0.0
6_wpr,2005,273.6825256347656
5_emr,2005,0.0
3_sear,2005,0.0
1_afr,2005,0.0
1_afr,2006,0.0
2_amr,2006,0.0
5_emr,2006,0.0
4_eur,2006,0.0
3_sear,2006,0.0
6_wpr,2006,319.30950927734375
5_emr,2007,0.0
1_afr,2007,0.0
6_wpr,2007,344.73345947265625
2_amr,2007,0.0
3_sear,2007,0.0
4_eur,2007,0.0
5_emr,2008,0.0
6_wpr,2008,406.66162109375
3_sear,2008,0.0
2_amr,2008,0.0
4_eur,2008,0.0
1_afr,2008,0.0
5_emr,2009,0.0
1_afr,2009,0.0
6_wpr,2009,438.2688903808594
4_eur,2009,0.0
2_amr,2009,0.0
3_sear,2009,0.0
6_wpr,2010,473.94415283203125
4_eur,2010,0.0
1_afr,2010,0.0
3_sear,2010,0.0
2_amr,2010,0.0
5_emr,2010,0.0
1_afr,2011,0.0
4_eur,2011,0.0
5_emr,2011,0.0
3_sear,2011,0.0
2_amr,2011,0.0
6_wpr,2011,493.9114074707031
2_amr,2012,0.0
6_wpr,2012,439.7700500488281
5_emr,2012,0.0
3_sear,2012,0.0
1_afr,2012,0.0
4_eur,2012,0.0
1_afr,2013,0.0
5_emr,2013,0.0
2_amr,2013,0.0
4_eur,2013,0.0
3_sear,2013,0.0
6_wpr,2013,426.8824768066406
2_amr,2014,0.0
5_emr,2014,0.0
3_sear,2014,0.0
4_eur,2014,0.0
1_afr,2014,0.0
6_wpr,2014,415.0571594238281
2_amr,2015,0.0
4_eur,2015,0.0
6_wpr,2015,385.9677429199219
1_afr,2015,0.0
5_emr,2015,0.0
3_sear,2015,0.0
2_amr,2016,0.0
1_afr,2016,0.0
3_sear,2016,0.0
5_emr,2016,0.0
6_wpr,2016,358.4972839355469
4_eur,2016,0.0
1_afr,2017,0.0
2_amr,2017,0.0
4_eur,2017,0.0
3_sear,2017,0.0
5_emr,2017,0.0
6_wpr,2017,333.05303955078125
