global,year,rneo10
global,2000,9.568135261535645
global,2001,9.335832595825195
global,2002,9.089484214782715
global,2003,8.854580879211426
global,2004,8.616981506347656
global,2005,8.405961990356445
global,2006,8.190607070922852
global,2007,7.996734142303467
global,2008,7.7957844734191895
global,2009,7.608080863952637
global,2010,7.45897912979126
global,2011,7.30980110168457
global,2012,7.169561862945557
global,2013,7.013607025146484
global,2014,6.822115421295166
global,2015,6.6328349113464355
global,2016,6.430602550506592
global,2017,6.254573822021484
