country,year,ufive5
ben,2007,100.15546417236328
ben,2008,100.94803619384766
ben,2009,102.28099822998047
ben,2010,102.49349212646484
ben,2011,102.33970642089844
ben,2012,100.33921813964844
ben,2013,101.2325210571289
ben,2014,103.64799499511719
ben,2015,106.73383331298828
ben,2016,107.92585754394531
ben,2017,108.18097686767578
bfa,2000,626.871337890625
bfa,2001,572.1791381835938
bfa,2002,516.2056884765625
bfa,2003,456.6180114746094
bfa,2004,393.9706726074219
bfa,2005,333.51904296875
bfa,2006,282.26434326171875
bfa,2007,240.60194396972656
bfa,2008,208.17752075195312
bfa,2009,180.17034912109375
bfa,2010,159.4814453125
bfa,2011,141.5409393310547
bfa,2012,129.35166931152344
bfa,2013,117.9891357421875
bfa,2014,107.99748229980469
bfa,2015,98.80144500732422
bfa,2016,92.44677734375
bfa,2017,91.7489242553711
bgd,2000,4050.47412109375
bgd,2001,3404.970458984375
bgd,2002,2893.69189453125
bgd,2003,2481.72900390625
bgd,2004,2108.44970703125
bgd,2005,1784.8555908203125
bgd,2006,1508.45849609375
bgd,2007,1267.973388671875
bgd,2008,1057.265869140625
bgd,2009,871.8973999023438
bgd,2010,716.8946533203125
bgd,2011,590.9683837890625
bgd,2012,492.35064697265625
bgd,2013,411.5116271972656
bgd,2014,345.34442138671875
bgd,2015,293.783935546875
bgd,2016,250.01400756835938
bgd,2017,234.2316131591797
bgr,2000,0.0
bgr,2001,0.0
bgr,2002,0.0
bgr,2003,0.0
bgr,2004,0.0
bgr,2005,0.0
bgr,2006,0.0
bgr,2007,0.0
bgr,2008,0.0
bgr,2009,0.0
bgr,2010,0.0
bgr,2011,0.0
bgr,2012,0.0
bgr,2013,0.0
bgr,2014,0.0
bgr,2015,0.0
bgr,2016,0.0
bgr,2017,0.0
bhr,2000,0.0
bhr,2001,0.0
bhr,2002,0.0
bhr,2003,0.0
bhr,2004,0.0
bhr,2005,0.0
bhr,2006,0.0
bhr,2007,0.0
bhr,2008,0.0
bhr,2009,0.0
bhr,2010,0.0
bhr,2011,0.0
bhr,2012,0.0
bhr,2013,0.0
bhr,2014,0.0
bhr,2015,0.0
bhr,2016,0.0
bhr,2017,0.0
bhs,2000,0.0
bhs,2001,0.0
bhs,2002,0.0
bhs,2003,0.0
bhs,2004,0.0
bhs,2005,0.0
bhs,2006,0.0
bhs,2007,0.0
bhs,2008,0.0
bhs,2009,0.0
bhs,2010,0.0
bhs,2011,0.0
bhs,2012,0.0
bhs,2013,0.0
bhs,2014,0.0
bhs,2015,0.0
bhs,2016,0.0
bhs,2017,0.0
bih,2000,0.0
bih,2001,0.0
bih,2002,0.0
bih,2003,0.0
bih,2004,0.0
bih,2005,0.0
bih,2006,0.0
bih,2007,0.0
bih,2008,0.0
bih,2009,0.0
bih,2010,0.0
bih,2011,0.0
bih,2012,0.0
bih,2013,0.0
bih,2014,0.0
bih,2015,0.0
bih,2016,0.0
bih,2017,0.0
blr,2000,0.0
blr,2001,0.0
blr,2002,0.0
blr,2003,0.0
blr,2004,0.0
blr,2005,0.0
blr,2006,0.0
blr,2007,0.0
blr,2008,0.0
blr,2009,0.0
blr,2010,0.0
blr,2011,0.0
blr,2012,0.0
blr,2013,0.0
blr,2014,0.0
blr,2015,0.0
blr,2016,0.0
blr,2017,0.0
blz,2000,0.0
blz,2001,0.0
blz,2002,0.0
blz,2003,0.0
blz,2004,0.0
blz,2005,0.0
blz,2006,0.0
blz,2007,0.0
blz,2008,0.0
blz,2009,0.0
blz,2010,0.0
blz,2011,0.0
blz,2012,0.0
blz,2013,0.0
blz,2014,0.0
blz,2015,0.0
blz,2016,0.0
blz,2017,0.0
bol,2000,137.8878173828125
bol,2001,122.2251205444336
bol,2002,109.72157287597656
bol,2003,100.8756103515625
bol,2004,92.70393371582031
bol,2005,84.93795776367188
bol,2006,76.48587799072266
bol,2007,67.7073974609375
bol,2008,58.88180923461914
bol,2009,51.52402877807617
bol,2010,45.952335357666016
bol,2011,41.64338684082031
bol,2012,37.27083969116211
bol,2013,32.83137512207031
bol,2014,28.241613388061523
bol,2015,25.362211227416992
bol,2016,22.952131271362305
bol,2017,22.153703689575195
bra,2000,20.934240341186523
bra,2001,18.16826629638672
bra,2002,10.32998275756836
bra,2003,8.273438453674316
bra,2004,5.0443925857543945
bra,2005,4.755449295043945
bra,2006,2.784054756164551
bra,2007,0.0
bra,2008,4.329615116119385
bra,2009,2.61069655418396
bra,2010,0.0
bra,2011,6.536207675933838
bra,2012,1.571656346321106
bra,2013,3.5152437686920166
bra,2014,2.911360502243042
bra,2015,1.0975072383880615
bra,2016,3.0447258949279785
