global,year,fpost13
global,2000,0.09446770697832108
global,2001,0.09436649084091187
global,2002,0.09463917464017868
global,2003,0.09360060095787048
global,2004,0.09574664384126663
global,2005,0.0956999734044075
global,2006,0.09945128858089447
global,2007,0.10289110243320465
global,2008,0.10393067449331284
global,2009,0.10736790299415588
global,2010,0.11043567955493927
global,2011,0.11281061917543411
global,2012,0.11702508479356766
global,2013,0.12130285054445267
global,2014,0.12649153172969818
global,2015,0.13027752935886383
global,2016,0.13330009579658508
global,2017,0.13680773973464966
