country,year,fufive5
afg,2000,0.08553585410118103
afg,2001,0.07713787257671356
afg,2002,0.07300014793872833
afg,2003,0.06064783036708832
afg,2004,0.03952234238386154
afg,2005,0.028485111892223358
afg,2006,0.023670099675655365
afg,2007,0.024311114102602005
afg,2008,0.02337026037275791
afg,2009,0.022602904587984085
afg,2010,0.023922085762023926
afg,2011,0.02455190382897854
afg,2012,0.02329159341752529
afg,2013,0.021645111963152885
afg,2014,0.01898944564163685
afg,2015,0.016907231882214546
afg,2016,0.01579129695892334
afg,2017,0.015765637159347534
ago,2000,0.01645658351480961
ago,2001,0.014272041618824005
ago,2002,0.012591457925736904
ago,2003,0.011552314274013042
ago,2004,0.010514299385249615
ago,2005,0.00925138033926487
ago,2006,0.008141862228512764
ago,2007,0.007183622103184462
ago,2008,0.006356615573167801
ago,2009,0.005893887486308813
ago,2010,0.005967228673398495
ago,2011,0.005946572404354811
ago,2012,0.0056947763077914715
ago,2013,0.005128951743245125
ago,2014,0.004632131662219763
ago,2015,0.00462030153721571
ago,2016,0.004433271940797567
ago,2017,0.004503177013248205
alb,2000,0.0025935955345630646
alb,2001,0.0030743349343538284
alb,2002,0.0036661529447883368
alb,2003,0.0038440609350800514
alb,2004,0.003665116848424077
alb,2005,0.0037597634363919497
alb,2006,0.004008205607533455
alb,2007,0.00441078981384635
alb,2008,0.00485534593462944
alb,2009,0.005307967774569988
alb,2010,0.005763671360909939
alb,2011,0.006184637546539307
alb,2012,0.00631920900195837
alb,2013,0.006528761237859726
alb,2014,0.006852591875940561
alb,2015,0.007268519606441259
alb,2016,0.007633245084434748
alb,2017,0.00788499042391777
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.0
are,2001,0.0
are,2002,0.0
are,2003,0.0
are,2004,0.0
are,2005,0.0
are,2006,0.0
are,2007,0.0
are,2008,0.0
are,2009,0.0
are,2010,0.0
are,2011,0.0
are,2012,0.0
are,2013,0.0
are,2014,0.0
are,2015,0.0
are,2016,0.0
are,2017,0.0
arg,2000,0.0
arg,2001,0.0
arg,2002,0.0
arg,2003,0.0
arg,2004,0.0
arg,2005,0.0
arg,2006,0.0
arg,2007,0.0
arg,2008,0.0
arg,2009,0.0
arg,2010,0.0
arg,2011,0.0
arg,2012,0.0
arg,2013,0.0
arg,2014,0.0
arg,2015,0.0
arg,2016,0.0
arg,2017,0.0
arm,2000,0.0
arm,2001,0.0
arm,2002,0.0
arm,2003,0.0
arm,2004,0.0
arm,2005,0.0
arm,2006,0.0
arm,2007,0.0
arm,2008,0.0
arm,2009,0.0
arm,2010,0.0
arm,2011,0.0
arm,2012,0.0
arm,2013,0.0
arm,2014,0.0
arm,2015,0.0
arm,2016,0.0
arm,2017,0.0
atg,2000,0.0
atg,2001,0.0
atg,2002,0.0
atg,2003,0.0
atg,2004,0.0
atg,2005,0.0
atg,2006,0.0
atg,2007,0.0
atg,2008,0.0
atg,2009,0.0
atg,2010,0.0
atg,2011,0.0
atg,2012,0.0
atg,2013,0.0
atg,2014,0.0
atg,2015,0.0
atg,2016,0.0
atg,2017,0.0
aus,2000,0.0
aus,2001,0.0
aus,2002,0.0
aus,2003,0.0
aus,2004,0.0
aus,2005,0.0
aus,2006,0.0
aus,2007,0.0
aus,2008,0.0
aus,2009,0.0
aus,2010,0.0
aus,2011,0.0
aus,2012,0.0
aus,2013,0.0
aus,2014,0.0
aus,2015,0.0
aus,2016,0.0
aus,2017,0.0
aut,2000,0.0
aut,2001,0.0
aut,2002,0.0
aut,2003,0.0
aut,2004,0.0
aut,2005,0.0
aut,2006,0.0
aut,2007,0.0
aut,2008,0.0
aut,2009,0.0
aut,2010,0.0
aut,2011,0.0
aut,2012,0.0
aut,2013,0.0
aut,2014,0.0
aut,2015,0.0
aut,2016,0.0
aut,2017,0.0
aze,2000,0.008292640559375286
aze,2001,0.007461127359420061
aze,2002,0.006698356010019779
aze,2003,0.006004463415592909
aze,2004,0.005399764981120825
aze,2005,0.004866717848926783
aze,2006,0.004389755427837372
aze,2007,0.0039562201127409935
aze,2008,0.00359114701859653
aze,2009,0.003245796076953411
aze,2010,0.0029662635643035173
aze,2011,0.0027025598101317883
aze,2012,0.0024659482296556234
aze,2013,0.002254905179142952
aze,2014,0.0020712343975901604
aze,2015,0.0019214891362935305
aze,2016,0.0018034841632470489
aze,2017,0.0017861024243757129
bdi,2000,0.006237704772502184
bdi,2001,0.005887225270271301
bdi,2002,0.005845899228006601
