global,year,rpost10
global,2000,0.9235767722129822
global,2001,0.9012237191200256
global,2002,0.8758881688117981
global,2003,0.8459156155586243
global,2004,0.8242161273956299
global,2005,0.8006102442741394
global,2006,0.7867500185966492
global,2007,0.7711601853370667
global,2008,0.7540270090103149
global,2009,0.7376425266265869
global,2010,0.7239792943000793
global,2011,0.7081558108329773
global,2012,0.6892226934432983
global,2013,0.6754741668701172
global,2014,0.6684141159057617
global,2015,0.6566097140312195
global,2016,0.6389841437339783
global,2017,0.6150211095809937
