global,year,neo3
global,2000,41274.023867253214
global,2001,39231.97320926562
global,2002,37367.80796661973
global,2003,35601.528085790575
global,2004,33794.63234191947
global,2005,31995.73341968283
global,2006,30032.09387312457
global,2007,28209.589688688517
global,2008,26401.33577018045
global,2009,24687.381089948118
global,2010,23224.282565498725
global,2011,21897.95097075589
global,2012,20722.410347171128
global,2013,19529.60147272609
global,2014,18272.710056032985
global,2015,17140.849440686405
global,2016,16440.54012124613
global,2017,16043.467530338094
