region,year,fufive11
5_emr,2000,0.1333371251821518
6_wpr,2000,0.1467047929763794
1_afr,2000,0.0910559669137001
2_amr,2000,0.08613734692335129
3_sear,2000,0.13108955323696136
4_eur,2000,0.08772891759872437
5_emr,2001,0.13308541476726532
2_amr,2001,0.08611437678337097
3_sear,2001,0.13029257953166962
6_wpr,2001,0.14826026558876038
1_afr,2001,0.09278721362352371
4_eur,2001,0.08860614895820618
5_emr,2002,0.13356906175613403
3_sear,2002,0.13074256479740143
4_eur,2002,0.08988745510578156
1_afr,2002,0.09424307197332382
6_wpr,2002,0.14681455492973328
2_amr,2002,0.0871521532535553
6_wpr,2003,0.14429795742034912
4_eur,2003,0.09045909345149994
3_sear,2003,0.12981213629245758
1_afr,2003,0.09468740224838257
5_emr,2003,0.1332320272922516
2_amr,2003,0.08558729290962219
4_eur,2004,0.09105069935321808
5_emr,2004,0.13422700762748718
6_wpr,2004,0.1392781287431717
1_afr,2004,0.1005144938826561
3_sear,2004,0.12666824460029602
2_amr,2004,0.08711590617895126
4_eur,2005,0.09260912239551544
2_amr,2005,0.08620478957891464
6_wpr,2005,0.13530251383781433
5_emr,2005,0.13466590642929077
3_sear,2005,0.12952332198619843
1_afr,2005,0.09930476546287537
1_afr,2006,0.10507428646087646
2_amr,2006,0.08785215020179749
5_emr,2006,0.13440842926502228
4_eur,2006,0.09433459490537643
3_sear,2006,0.12757784128189087
6_wpr,2006,0.13504378497600555
5_emr,2007,0.13512691855430603
1_afr,2007,0.10753380507230759
6_wpr,2007,0.13371843099594116
2_amr,2007,0.08827834576368332
3_sear,2007,0.1291303187608719
4_eur,2007,0.09577041864395142
5_emr,2008,0.13578054308891296
6_wpr,2008,0.132343590259552
3_sear,2008,0.12711100280284882
2_amr,2008,0.0884854644536972
4_eur,2008,0.09700675308704376
1_afr,2008,0.1083255410194397
5_emr,2009,0.1358010619878769
1_afr,2009,0.11050840467214584
6_wpr,2009,0.1306242048740387
4_eur,2009,0.09962237626314163
2_amr,2009,0.0876619964838028
3_sear,2009,0.12601330876350403
6_wpr,2010,0.12860628962516785
4_eur,2010,0.09774919599294662
1_afr,2010,0.11225597560405731
3_sear,2010,0.1257687509059906
2_amr,2010,0.07731705158948898
5_emr,2010,0.13538089394569397
1_afr,2011,0.11291983723640442
4_eur,2011,0.0967201367020607
5_emr,2011,0.13139265775680542
3_sear,2011,0.12397604435682297
2_amr,2011,0.08718301355838776
6_wpr,2011,0.12651140987873077
2_amr,2012,0.08607550710439682
6_wpr,2012,0.12615756690502167
5_emr,2012,0.13170920312404633
3_sear,2012,0.12388183921575546
1_afr,2012,0.11568902432918549
4_eur,2012,0.0949244573712349
1_afr,2013,0.11599820107221603
5_emr,2013,0.1333145648241043
2_amr,2013,0.08646947145462036
4_eur,2013,0.09432461857795715
3_sear,2013,0.12326481193304062
6_wpr,2013,0.12667937576770782
2_amr,2014,0.08768946677446365
5_emr,2014,0.13217781484127045
3_sear,2014,0.1208919957280159
4_eur,2014,0.09353066980838776
1_afr,2014,0.11923839896917343
6_wpr,2014,0.12719354033470154
2_amr,2015,0.0884556770324707
4_eur,2015,0.09371119737625122
6_wpr,2015,0.12970192730426788
1_afr,2015,0.12036240100860596
5_emr,2015,0.133258655667305
3_sear,2015,0.11977500468492508
2_amr,2016,0.08837033063173294
1_afr,2016,0.1210717111825943
3_sear,2016,0.1216120570898056
5_emr,2016,0.13400526344776154
6_wpr,2016,0.1288045197725296
4_eur,2016,0.0941401794552803
1_afr,2017,0.1247330904006958
2_amr,2017,0.08824601769447327
4_eur,2017,0.09383565932512283
3_sear,2017,0.12296891957521439
5_emr,2017,0.13483826816082
6_wpr,2017,0.128147691488266
