country,year,fufive10
afg,2000,0.14084866642951965
afg,2001,0.13422243297100067
afg,2002,0.13782447576522827
afg,2003,0.14147303998470306
afg,2004,0.13758674263954163
afg,2005,0.13479860126972198
afg,2006,0.13238193094730377
afg,2007,0.144402414560318
afg,2008,0.14998918771743774
afg,2009,0.15285708010196686
afg,2010,0.16301432251930237
afg,2011,0.17146265506744385
afg,2012,0.17793676257133484
afg,2013,0.18668915331363678
afg,2014,0.18757344782352448
afg,2015,0.18825794756412506
afg,2016,0.1923675835132599
afg,2017,0.19177190959453583
ago,2000,0.08735013753175735
ago,2001,0.08665857464075089
ago,2002,0.08734811842441559
ago,2003,0.09107705950737
ago,2004,0.09385518729686737
ago,2005,0.09478677809238434
ago,2006,0.0966954156756401
ago,2007,0.09925288707017899
ago,2008,0.10126812011003494
ago,2009,0.10312703251838684
ago,2010,0.10852950811386108
ago,2011,0.11211290955543518
ago,2012,0.11357486993074417
ago,2013,0.11195901781320572
ago,2014,0.11083458364009857
ago,2015,0.11783438920974731
ago,2016,0.11831970512866974
ago,2017,0.11972997337579727
alb,2000,0.1982787400484085
alb,2001,0.20137803256511688
alb,2002,0.2040247917175293
alb,2003,0.2060120850801468
alb,2004,0.20748589932918549
alb,2005,0.20974811911582947
alb,2006,0.21238037943840027
alb,2007,0.21425026655197144
alb,2008,0.2170058637857437
alb,2009,0.22335262596607208
alb,2010,0.22660858929157257
alb,2011,0.229526087641716
alb,2012,0.23433758318424225
alb,2013,0.24279284477233887
alb,2014,0.2550753057003021
alb,2015,0.26909253001213074
alb,2016,0.28103458881378174
alb,2017,0.2892875373363495
and,2000,0.6635656952857971
and,2001,0.4960803985595703
and,2002,0.49684321880340576
and,2003,0.5533391833305359
and,2004,0.5537658333778381
and,2005,0.5537315011024475
and,2006,0.5537362694740295
and,2007,0.554027795791626
and,2008,0.5548853874206543
and,2009,0.5555754899978638
and,2010,0.5556878447532654
and,2011,0.48159220814704895
and,2012,0.40740740299224854
and,2013,0.5555555820465088
and,2014,0.644444465637207
and,2015,0.8333333134651184
and,2016,0.6666666865348816
and,2017,0.6666666865348816
are,2000,0.22662176191806793
are,2001,0.2305193543434143
are,2002,0.23461198806762695
are,2003,0.23817284405231476
are,2004,0.2410796582698822
are,2005,0.24323564767837524
are,2006,0.2444729208946228
are,2007,0.24622920155525208
are,2008,0.24718685448169708
are,2009,0.24753983318805695
are,2010,0.24745506048202515
are,2011,0.24713586270809174
are,2012,0.24733704328536987
are,2013,0.24713607132434845
are,2014,0.24670781195163727
are,2015,0.24603304266929626
are,2016,0.24482327699661255
are,2017,0.24415917694568634
arg,2000,0.2694968283176422
arg,2001,0.2776431739330292
arg,2002,0.2822383940219879
arg,2003,0.28293323516845703
arg,2004,0.2814852297306061
arg,2005,0.2752628028392792
arg,2006,0.26030105352401733
arg,2007,0.26004546880722046
