global,year,post17
global,2000,387510.26048415975
global,2001,377479.20689551963
global,2002,366682.7645441046
global,2003,355889.6686453012
global,2004,379752.3464820107
global,2005,342465.9590149089
global,2006,339593.9833921083
global,2007,334985.67949022254
global,2008,352388.059923753
global,2009,328743.1574391838
global,2010,360649.28570085636
global,2011,324375.61045433476
global,2012,320164.6356802243
global,2013,319594.15079532505
global,2014,318318.14014998847
global,2015,318626.08864330983
global,2016,312539.0057264235
global,2017,304173.2608885361
