global,year,neo12
global,2000,481796.30136988685
global,2001,478795.32496166974
global,2002,476289.25643770024
global,2003,472810.6615752056
global,2004,469496.04377829656
global,2005,464522.6814467795
global,2006,457209.37986951694
global,2007,451752.3001504615
global,2008,446006.98951341957
global,2009,438061.280723311
global,2010,425643.5555130951
global,2011,410470.17443592474
global,2012,395323.9288389124
global,2013,382125.9150076695
global,2014,372626.4970134534
global,2015,363802.34286256135
global,2016,357416.16138733923
global,2017,349617.77416632697
