region,year,neo7
5_emr,2000,11606.915557920933
6_wpr,2000,1011.1932028532028
1_afr,2000,19233.020051538944
2_amr,2000,556.322207570076
3_sear,2000,20279.355095922947
4_eur,2000,912.8710248172283
5_emr,2001,12018.206858575344
2_amr,2001,501.3220100402832
3_sear,2001,19678.881050378084
6_wpr,2001,930.574575394392
1_afr,2001,19487.42550201714
4_eur,2001,841.564295321703
5_emr,2002,12287.444912135601
3_sear,2002,19059.48420956731
4_eur,2002,773.5094911754131
1_afr,2002,19509.383539050817
6_wpr,2002,871.4862422645092
2_amr,2002,458.1638308763504
6_wpr,2003,807.0705023407936
4_eur,2003,707.8541274368763
3_sear,2003,18458.820241987705
1_afr,2003,19757.342711254954
5_emr,2003,12510.645780026913
2_amr,2003,427.54791951179504
4_eur,2004,663.6307359933853
5_emr,2004,12807.454801261425
6_wpr,2004,726.6766649931669
1_afr,2004,19785.809913814068
3_sear,2004,17768.378744900227
2_amr,2004,410.54380264878273
4_eur,2005,653.0615958869457
2_amr,2005,395.86474749445915
6_wpr,2005,651.8031383156776
5_emr,2005,12919.504077494144
3_sear,2005,16797.284373238683
1_afr,2005,19705.06600522995
1_afr,2006,19954.61662365496
2_amr,2006,387.98646664619446
5_emr,2006,13111.036362707615
4_eur,2006,607.2581105232239
3_sear,2006,16492.92903420329
6_wpr,2006,581.0857381075621
5_emr,2007,13172.08722126484
1_afr,2007,20018.807838261127
6_wpr,2007,544.2177296429873
2_amr,2007,355.58062475919724
3_sear,2007,15963.464595898986
4_eur,2007,576.9624038040638
5_emr,2008,13081.233220219612
6_wpr,2008,550.5504002571106
3_sear,2008,15368.105157315731
2_amr,2008,370.51242661476135
4_eur,2008,543.0349998772144
1_afr,2008,19840.807869404554
5_emr,2009,13085.567177414894
1_afr,2009,19703.299292966723
6_wpr,2009,539.2574543058872
4_eur,2009,525.4775406122208
2_amr,2009,381.4958246946335
3_sear,2009,14418.44145976752
6_wpr,2010,531.464848190546
4_eur,2010,510.6336743235588
1_afr,2010,18965.21238039434
3_sear,2010,13570.4185045138
2_amr,2010,382.8943414092064
5_emr,2010,12891.207953929901
1_afr,2011,17971.206366226077
4_eur,2011,471.5780692398548
5_emr,2011,12323.383365809917
3_sear,2011,12792.995985329151
2_amr,2011,346.1103883385658
6_wpr,2011,533.0581508278847
2_amr,2012,357.58829459547997
6_wpr,2012,516.4493131637573
5_emr,2012,11836.27910488844
3_sear,2012,11806.511024557054
1_afr,2012,17289.819786578417
4_eur,2012,437.5715674608946
1_afr,2013,16733.65579612553
5_emr,2013,11475.990119576454
2_amr,2013,324.77004051208496
4_eur,2013,397.80225072801113
3_sear,2013,11065.05191475153
6_wpr,2013,502.8165842294693
2_amr,2014,318.1007909476757
5_emr,2014,11192.53145390749
3_sear,2014,10177.059266112745
4_eur,2014,376.6435628980398
1_afr,2014,16491.3221488297
6_wpr,2014,490.95694248378277
2_amr,2015,313.025307148695
4_eur,2015,351.21395958960056
6_wpr,2015,471.62462539970875
1_afr,2015,16074.848135843873
5_emr,2015,10924.185184508562
3_sear,2015,9300.462786845863
2_amr,2016,306.72042539715767
1_afr,2016,15854.172625809908
3_sear,2016,8697.956457983702
5_emr,2016,10664.140787005424
6_wpr,2016,445.797201782465
4_eur,2016,332.33460852503777
1_afr,2017,15566.185833990574
2_amr,2017,301.56350392103195
4_eur,2017,311.17631636559963
3_sear,2017,8333.212686091661
5_emr,2017,10323.72404666245
6_wpr,2017,420.66404344141483
