global,year,fneo15
global,2000,0.08234601467847824
global,2001,0.08363103121519089
global,2002,0.08489350229501724
global,2003,0.08612579852342606
global,2004,0.08794358372688293
global,2005,0.08969351649284363
global,2006,0.09172207117080688
global,2007,0.09325716644525528
global,2008,0.09490033984184265
global,2009,0.0963926687836647
global,2010,0.09875819832086563
global,2011,0.10120931267738342
global,2012,0.1036209687590599
global,2013,0.10610371083021164
global,2014,0.10888954252004623
global,2015,0.11159704625606537
global,2016,0.112694151699543
global,2017,0.11201859265565872
