global,year,rpost13
global,2000,4.338925361633301
global,2001,4.1828389167785645
global,2002,4.019425392150879
global,2003,3.8519601821899414
global,2004,3.689815044403076
global,2005,3.5399608612060547
global,2006,3.42846417427063
global,2007,3.3256092071533203
global,2008,3.2329013347625732
global,2009,3.172452211380005
global,2010,3.1210427284240723
global,2011,3.0598974227905273
global,2012,2.981858015060425
global,2013,2.9702906608581543
global,2014,2.960787773132324
global,2015,2.9300270080566406
global,2016,2.890119791030884
global,2017,2.8080785274505615
