global,year,rneo9
global,2000,2.358604907989502
global,2001,2.244164228439331
global,2002,2.135246992111206
global,2003,2.0344319343566895
global,2004,1.9325578212738037
global,2005,1.8272099494934082
global,2006,1.728395938873291
global,2007,1.637502908706665
global,2008,1.560597538948059
global,2009,1.489011287689209
global,2010,1.4229873418807983
global,2011,1.3650367259979248
global,2012,1.3081324100494385
global,2013,1.254175066947937
global,2014,1.2060644626617432
global,2015,1.162191390991211
global,2016,1.1310750246047974
global,2017,1.1059057712554932
