global,year,fneo10
global,2000,0.31223437190055847
global,2001,0.3141199052333832
global,2002,0.3159303367137909
global,2003,0.3183731436729431
global,2004,0.32067057490348816
global,2005,0.32382676005363464
global,2006,0.3262183368206024
global,2007,0.32898062467575073
global,2008,0.33108407258987427
global,2009,0.3336958885192871
global,2010,0.33766281604766846
global,2011,0.3416418731212616
global,2012,0.34557127952575684
global,2013,0.34836098551750183
global,2014,0.34885257482528687
global,2015,0.34885022044181824
global,2016,0.34737712144851685
global,2017,0.3468322455883026
