country,year,nnd
ben,2008,12281.0
ben,2009,12500.0
ben,2010,12719.0009765625
ben,2011,12915.0009765625
ben,2012,13092.0
ben,2013,13223.0
ben,2014,13288.0009765625
ben,2015,13355.0009765625
ben,2016,13352.9990234375
ben,2017,13391.0
bfa,2000,22046.0
bfa,2001,22164.001953125
bfa,2002,22249.0
bfa,2003,22267.998046875
bfa,2004,22146.001953125
bfa,2005,21888.998046875
bfa,2006,21578.0
bfa,2007,21207.001953125
bfa,2008,20884.0
bfa,2009,20577.0
bfa,2010,20281.0
bfa,2011,19959.0
bfa,2012,19662.001953125
bfa,2013,19409.0
bfa,2014,19198.0
bfa,2015,19013.0
bfa,2016,18875.0
bfa,2017,18752.0
bgd,2000,154344.984375
bgd,2001,147504.0
bgd,2002,140656.0
bgd,2003,133963.0
bgd,2004,127287.0
bgd,2005,120571.0
bgd,2006,113958.0
bgd,2007,107454.0
bgd,2008,100975.0
bgd,2009,94676.0078125
bgd,2010,88612.0
bgd,2011,82946.9921875
bgd,2012,77688.0
bgd,2013,72959.0078125
bgd,2014,68726.0
bgd,2015,64518.0
bgd,2016,60140.00390625
bgd,2017,56341.00390625
bgr,2000,515.0
bgr,2001,495.0
bgr,2002,477.0
bgr,2003,458.9999694824219
bgr,2004,438.0
bgr,2005,418.0
bgr,2006,400.0000305175781
bgr,2007,386.0
bgr,2008,375.9999694824219
bgr,2009,369.0
bgr,2010,361.0
bgr,2011,347.0
bgr,2012,327.9999694824219
bgr,2013,308.0
bgr,2014,289.0
bgr,2015,273.0
bgr,2016,258.0
bgr,2017,244.00001525878906
bhr,2000,70.0
bhr,2001,66.0
bhr,2002,64.0
bhr,2003,63.000003814697266
bhr,2004,62.0
bhr,2005,61.0
bhr,2006,61.0
bhr,2007,60.0
bhr,2008,60.0
bhr,2009,61.0
bhr,2010,62.000003814697266
bhr,2011,63.0
bhr,2012,65.0
bhr,2013,66.99999237060547
bhr,2014,68.0
bhr,2015,69.0
bhr,2016,69.0
bhr,2017,67.99999237060547
bhs,2000,44.000003814697266
bhs,2001,43.00000762939453
bhs,2002,43.000003814697266
bhs,2003,43.999996185302734
bhs,2004,43.999996185302734
bhs,2005,44.999996185302734
bhs,2006,45.000003814697266
bhs,2007,44.000003814697266
bhs,2008,42.0
bhs,2009,40.0
bhs,2010,37.0
bhs,2011,34.0
bhs,2012,31.0
bhs,2013,29.0
bhs,2014,26.000001907348633
bhs,2015,24.999996185302734
bhs,2016,23.000001907348633
bhs,2017,22.000001907348633
bih,2000,268.9999694824219
bih,2001,242.0
bih,2002,222.0
bih,2003,207.00001525878906
bih,2004,196.0
bih,2005,188.99998474121094
bih,2006,185.0
bih,2007,182.0
bih,2008,179.99998474121094
bih,2009,176.00001525878906
bih,2010,170.00001525878906
bih,2011,163.0
bih,2012,155.99998474121094
bih,2013,149.00001525878906
bih,2014,143.0
bih,2015,138.0
bih,2016,134.0
bih,2017,129.99729919433594
blr,2000,536.0
blr,2001,484.0
blr,2002,442.0
blr,2003,405.0
blr,2004,367.99993896484375
blr,2005,331.0
blr,2006,293.0000305175781
blr,2007,257.0
blr,2008,229.0
blr,2009,210.00001525878906
blr,2010,201.0
blr,2011,199.00001525878906
blr,2012,202.99998474121094
blr,2013,204.99998474121094
blr,2014,200.00001525878906
blr,2015,190.99998474121094
blr,2016,180.99998474121094
