global,year,fneo7
global,2000,0.013416283763945103
global,2001,0.013743839226663113
global,2002,0.013992243446409702
global,2003,0.014306969940662384
global,2004,0.014566697180271149
global,2005,0.01467579323798418
global,2006,0.015070714056491852
global,2007,0.01530844159424305
global,2008,0.015429542399942875
global,2009,0.015490986406803131
global,2010,0.015318088233470917
global,2011,0.014937211759388447
global,2012,0.014594463631510735
global,2013,0.014380527660250664
global,2014,0.014246570877730846
global,2015,0.014031706377863884
global,2016,0.013968100771307945
global,2017,0.01392677053809166
