global,year,post7
global,2000,286699.0844575972
global,2001,277364.3108290928
global,2002,268081.10495482164
global,2003,266532.72401252814
global,2004,247425.16296248182
global,2005,241736.88589916378
global,2006,207368.3983343142
global,2007,197114.69021728277
global,2008,201817.76973771007
global,2009,176633.0761948929
global,2010,154646.8561404761
global,2011,144035.00759180926
global,2012,148067.81829090137
global,2013,130676.95896061382
global,2014,108794.38865702179
global,2015,105062.66309777554
global,2016,90692.64201672106
global,2017,94522.97304627649
