global,year,post8
global,2000,656274.6365900949
global,2001,656923.2114177116
global,2002,655633.4582847452
global,2003,647321.2518826313
global,2004,640782.1502317473
global,2005,615012.1885211794
global,2006,590497.1138424942
global,2007,553934.38040937
global,2008,508339.9964405017
global,2009,475625.4173838265
global,2010,440982.22553157574
global,2011,402204.5550443621
global,2012,369334.74745557224
global,2013,342048.8032360276
global,2014,319104.41948536225
global,2015,298278.3629804379
global,2016,278840.9265343633
global,2017,263179.2752166209
