global,year,rpost2
global,2000,1.7697055339813232
global,2001,1.7952898740768433
global,2002,1.7963470220565796
global,2003,1.7733429670333862
global,2004,1.725427269935608
global,2005,1.653581142425537
global,2006,1.5639492273330688
global,2007,1.4371795654296875
global,2008,1.2909263372421265
global,2009,1.14181387424469
global,2010,1.0383083820343018
global,2011,0.9028253555297852
global,2012,0.7852856516838074
global,2013,0.6883690357208252
global,2014,0.6324071884155273
global,2015,0.5823555588722229
global,2016,0.5388253331184387
global,2017,0.5314427018165588
