global,year,fufive11
global,2000,0.11336486786603928
global,2001,0.11372648924589157
global,2002,0.11421656608581543
global,2003,0.11356841027736664
global,2004,0.11511531472206116
global,2005,0.11486504971981049
global,2006,0.11699523776769638
global,2007,0.11850009113550186
global,2008,0.11817161738872528
global,2009,0.11869528889656067
global,2010,0.11852885782718658
global,2011,0.11820066720247269
global,2012,0.11936511099338531
global,2013,0.11955247074365616
global,2014,0.12040223926305771
global,2015,0.12099222093820572
global,2016,0.12183280289173126
global,2017,0.12405407428741455
