global,year,post6
global,2000,482937.8877054152
global,2001,471438.2654272584
global,2002,436199.7456198029
global,2003,476801.8191743153
global,2004,311273.37474966503
global,2005,351452.6525663893
global,2006,221174.09326103362
global,2007,140120.61665655053
global,2008,159183.0514643434
global,2009,163367.09687266118
global,2010,134416.8347946903
global,2011,191073.7904289888
global,2012,131047.42455652446
global,2013,147710.14355459917
global,2014,136658.3942488723
global,2015,140345.52824180576
global,2016,144609.32084129847
global,2017,91649.62708313607
