global,year,rpost17
global,2000,2.972349166870117
global,2001,2.884338140487671
global,2002,2.787289619445801
global,2003,2.6886682510375977
global,2004,2.849700689315796
global,2005,2.5520012378692627
global,2006,2.512950897216797
global,2007,2.461965799331665
global,2008,2.573153257369995
global,2009,2.386413097381592
global,2010,2.6047091484069824
global,2011,2.3328909873962402
global,2012,2.294823169708252
global,2013,2.2847023010253906
global,2014,2.2712528705596924
global,2015,2.2707533836364746
global,2016,2.2262399196624756
global,2017,2.1667566299438477
