global,year,rneo16
global,2000,0.04222399741411209
global,2001,0.040187571197748184
global,2002,0.04017699882388115
global,2003,0.04025675356388092
global,2004,0.04042791947722435
global,2005,0.03886443376541138
global,2006,0.03726435825228691
global,2007,0.036971841007471085
global,2008,0.03726176917552948
global,2009,0.03854219987988472
global,2010,0.03833101689815521
global,2011,0.03809445723891258
global,2012,0.03734852001070976
global,2013,0.03544319421052933
global,2014,0.033449091017246246
global,2015,0.03150751069188118
global,2016,0.03021286614239216
global,2017,0.028963150456547737
