region,year,post2
5_emr,2000,595.9799928665161
6_wpr,2000,1466.6086762014477
1_afr,2000,210777.9284133911
2_amr,2000,3023.378674198776
3_sear,2000,14297.580330371857
4_eur,2000,558.0820436362974
5_emr,2001,647.460001707077
2_amr,2001,2976.3638362457204
3_sear,2001,13702.590123176575
6_wpr,2001,1593.0321610903723
1_afr,2001,215406.18071746826
4_eur,2001,627.6117609324195
5_emr,2002,696.9599907398224
3_sear,2002,12939.300070762634
4_eur,2002,682.617908673788
1_afr,2002,217420.82894563675
6_wpr,2002,1690.6028785705566
2_amr,2002,2888.681593758746
6_wpr,2003,1759.6762075424194
4_eur,2003,730.3453502117827
3_sear,2003,12027.509799480438
1_afr,2003,216684.2702240944
5_emr,2003,735.2466828965089
2_amr,2003,2794.2035189553008
4_eur,2004,697.9715363233707
5_emr,2004,767.2499871253967
6_wpr,2004,1793.1086122540535
1_afr,2004,212962.85604143143
3_sear,2004,11078.099860191345
2_amr,2004,2631.9020211100938
4_eur,2005,673.2902519764508
2_amr,2005,2408.557138870626
6_wpr,2005,1784.4456409940262
5_emr,2005,800.9099941253662
3_sear,2005,10050.479894638062
1_afr,2005,206184.7341710075
1_afr,2006,196756.56092453003
2_amr,2006,2239.3159838919323
5_emr,2006,833.5800087451935
4_eur,2006,623.3584692717857
3_sear,2006,9169.380001068115
6_wpr,2006,1726.031973540783
5_emr,2007,877.1399884223938
1_afr,2007,182034.26839447021
6_wpr,2007,1738.734597894465
2_amr,2007,1961.680824246707
3_sear,2007,8304.12022781372
4_eur,2007,632.9077526002828
5_emr,2008,910.8000211715698
6_wpr,2008,1532.3056094864
3_sear,2008,7326.990259170532
2_amr,2008,1703.8081311367428
4_eur,2008,507.0494072841026
1_afr,2008,164808.7652397048
5_emr,2009,933.5699982643127
1_afr,2009,146864.52021741867
6_wpr,2009,1215.0510334968567
4_eur,2009,391.69305166054966
2_amr,2009,1430.3022793517155
3_sear,2009,6456.780002117157
6_wpr,2010,905.8428405325384
4_eur,2010,332.1901752064596
1_afr,2010,134294.90922177333
3_sear,2010,5994.450042247772
2_amr,2010,1311.6451086212055
5_emr,2010,925.6499919891357
1_afr,2011,116900.18910098076
4_eur,2011,330.20938461110114
5_emr,2011,965.2499923706055
3_sear,2011,5398.469966650009
2_amr,2011,1172.2315168071875
6_wpr,2011,766.534432011339
2_amr,2012,1024.1589209702743
6_wpr,2012,678.4304585456848
5_emr,2012,1020.3734582110276
3_sear,2012,5019.2999477386475
1_afr,2012,101475.0004837513
4_eur,2012,342.6800343697373
1_afr,2013,88452.5410425663
5_emr,2013,1044.450007200241
2_amr,2013,878.5535243817332
4_eur,2013,366.7723040898676
3_sear,2013,4891.589849472046
6_wpr,2013,658.1695256233215
2_amr,2014,826.7720245652043
5_emr,2014,1085.2984168861008
3_sear,2014,4600.530061483383
4_eur,2014,377.1445981405018
1_afr,2014,81181.97936081886
6_wpr,2014,560.7143158912659
2_amr,2015,918.7931109911937
4_eur,2015,412.38588395752436
6_wpr,2015,513.2161042690277
1_afr,2015,74329.19971203804
5_emr,2015,1077.0799970846645
3_sear,2015,4463.909940242767
2_amr,2016,951.8599574408219
1_afr,2016,68415.38576426732
3_sear,2016,4117.410040855408
5_emr,2016,1105.770064794661
6_wpr,2016,545.3903136253357
4_eur,2016,509.19207693612105
1_afr,2017,67616.01067352295
2_amr,2017,1002.0566067088389
4_eur,2017,622.7110732589947
3_sear,2017,3715.469985961914
5_emr,2017,1117.6370546856672
6_wpr,2017,531.0158636569977
