global,year,rufive16
global,2000,2.620652914047241
global,2001,2.554422616958618
global,2002,2.473153591156006
global,2003,2.3991050720214844
global,2004,2.3348567485809326
global,2005,2.2625603675842285
global,2006,2.2044694423675537
global,2007,2.149508237838745
global,2008,2.098757743835449
global,2009,2.068787097930908
global,2010,2.02354097366333
global,2011,1.9890077114105225
global,2012,1.9514400959014893
global,2013,1.9123128652572632
global,2014,1.8776583671569824
global,2015,1.8428969383239746
global,2016,1.8047863245010376
global,2017,1.754378080368042
